,k,run time,average cover size,S
0,1,0.2673162999999992,3181.982,[107]
1,2,0.273396,3179.975,"[107, 1684]"
2,3,0.2797971999999991,3185.517,"[107, 1684, 1912]"
3,4,0.28467599999999926,3189.933,"[107, 1684, 1912, 3437]"
4,5,0.2887189999999986,3215.915,"[107, 1684, 1912, 3437, 0]"
5,6,0.2918143999999998,3215.827,"[107, 1684, 1912, 3437, 0, 348]"
6,7,0.2933217999999993,3214.406,"[107, 1684, 1912, 3437, 0, 348, 2543]"
7,8,0.29776249999999926,3211.186,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888]"
8,9,0.2992922999999994,3340.688,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686]"
9,10,0.300929,3340.603,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483]"
10,11,0.3023296999999996,3342.104,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086]"
11,12,0.30362699999999876,3339.527,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339]"
12,13,0.30553089999999905,3341.502,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084]"
13,14,0.30639609999999884,3339.952,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539]"
14,15,0.3072962999999991,3340.262,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839]"
15,16,0.3082747000000001,3339.805,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509]"
16,17,0.30935689999999916,3339.081,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077]"
17,18,0.3102362999999997,3339.377,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101]"
18,19,0.3111485999999992,3340.239,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917]"
19,20,0.3120234999999987,3338.903,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409]"
20,21,0.3130316999999998,3338.028,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090]"
21,22,0.314317599999999,3339.15,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459]"
22,23,0.31575929999999985,3340.631,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951]"
23,24,0.31686389999999953,3340.999,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830]"
24,25,0.3178041999999994,3338.439,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414]"
25,26,0.3185205,3340.367,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964]"
26,27,0.3188777999999992,3339.238,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941]"
27,28,0.3203619,3339.491,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795]"
28,29,0.32159039999999983,3341.383,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104]"
29,30,0.3230103,3338.667,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290]"
30,31,0.32457020000000014,3340.876,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268]"
31,32,0.3261085999999995,3338.195,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392]"
32,33,0.32716749999999983,3339.403,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592]"
33,34,0.3285973999999996,3338.83,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938]"
34,35,0.3291518999999994,3340.652,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396]"
35,36,0.3296858999999994,3339.271,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584]"
36,37,0.33050159999999984,3340.365,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637]"
37,38,0.3309496000000003,3341.884,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904]"
38,39,0.33152950000000025,3339.741,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56]"
39,40,0.33181510000000003,3339.27,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136]"
40,41,0.3325528000000002,3367.978,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980]"
41,42,0.3327859999999987,3367.045,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128]"
42,43,0.3335008999999989,3366.518,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256]"
43,44,0.33375989999999867,3366.648,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397]"
44,45,0.3342162999999996,3368.254,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536]"
45,46,0.33450309999999916,3367.244,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536, 2491]"
46,47,0.33519849999999884,3367.311,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536, 2491, 1703]"
47,48,0.3356078999999994,3368.15,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536, 2491, 1703, 828]"
48,49,0.3359354999999997,3368.143,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536, 2491, 1703, 828, 2659]"
49,50,0.3362115999999986,3366.713,"[107, 1684, 1912, 3437, 0, 348, 2543, 1888, 686, 483, 1086, 2339, 2084, 2539, 2839, 2509, 2077, 3101, 917, 1409, 3090, 1459, 2951, 3830, 414, 1964, 1941, 1795, 1104, 1290, 2268, 2392, 2592, 3938, 3396, 1584, 637, 2904, 56, 136, 3980, 1128, 3256, 3397, 2536, 2491, 1703, 828, 2659, 67]"
