,S,average cover size,k,run time
0,[14949],31.661800000000042,1,7.989220200000002
1,"[14949, 4429]",73.09960000000034,2,7.993843200000004
2,"[14949, 4429, 33]",112.87930000000027,3,7.998397900000004
3,"[14949, 4429, 33, 10519]",138.96059999999994,4,8.001507800000002
4,"[14949, 4429, 33, 10519, 12771]",161.90299999999976,5,8.004363399999999
5,"[14949, 4429, 33, 10519, 12771, 8]",189.39350000000005,6,8.0069725
6,"[14949, 4429, 33, 10519, 12771, 8, 297]",206.36189999999945,7,8.009842800000005
7,"[14949, 4429, 33, 10519, 12771, 8, 297, 481]",233.67220000000077,8,8.015577700000005
8,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737]",252.32460000000097,9,8.0194279
9,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106]",273.31719999999973,10,8.021587400000005
10,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939]",289.1449000000002,11,8.023469299999999
11,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765]",305.2223000000012,12,8.025369800000004
12,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241]",328.2646999999995,13,8.027088899999999
13,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93]",344.56979999999874,14,8.029398600000004
14,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501]",358.1205999999983,15,8.0314029
15,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244]",373.12680000000086,16,8.033019200000002
16,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99]",387.17009999999783,17,8.034561800000002
17,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913]",400.0746999999983,18,8.036191300000002
18,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661]",416.2761999999999,19,8.037766600000001
19,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341]",427.37299999999885,20,8.039392700000004
20,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399]",440.2861999999994,21,8.040831700000002
21,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673]",452.696199999999,22,8.0422883
22,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303]",465.99899999999957,23,8.043760200000005
23,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037]",477.1754000000025,24,8.045148999999999
24,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525]",488.5875000000022,25,8.046574600000003
25,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18]",501.6438000000009,26,8.0480901
26,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340]",509.5177000000014,27,8.050253999999999
27,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353]",520.403400000003,28,8.052352299999999
28,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934]",532.2831999999994,29,8.054367899999999
29,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304]",543.8948000000005,30,8.055839200000005
30,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131]",554.5645999999987,31,8.057393200000003
31,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131, 626]",565.4133000000044,32,8.058851200000003
32,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131, 626, 1964]",575.965100000001,33,8.0603533
33,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131, 626, 1964, 7153]",587.744000000002,34,8.061780299999999
34,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131, 626, 1964, 7153, 61341]",597.3631999999998,35,8.063089300000005
35,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 5737, 9106, 8939, 5765, 1241, 93, 2501, 244, 99, 5913, 3661, 80341, 33399, 3673, 303, 31037, 17525, 18, 16340, 2353, 15934, 13304, 9131, 626, 1964, 7153, 61341, 4935]",609.7485000000013,36,8.065039899999999
