,S,average cover size,k,run time
0,[131],514.7310000000015,1,0.10975430000000053
1,"[131, 639]",534.2248999999999,2,0.10993200000000058
2,"[131, 639, 287]",537.5309000000036,3,0.11011350000000064
3,"[131, 639, 287, 267]",538.7575000000011,4,0.11029970000000056
4,"[131, 639, 287, 267, 100]",539.4157000000016,5,0.1104529000000003
5,"[131, 639, 287, 267, 100, 559]",551.0210999999993,6,0.1106871000000007
6,"[131, 639, 287, 267, 100, 559, 608]",550.9432999999983,7,0.11083310000000068
7,"[131, 639, 287, 267, 100, 559, 608, 124]",560.6825000000008,8,0.1109625000000003
8,"[131, 639, 287, 267, 100, 559, 608, 124, 66]",568.3650999999998,9,0.11113900000000054
9,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236]",575.044100000001,10,0.11129470000000019
10,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646]",580.7395000000013,11,0.1114272000000005
11,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412]",587.3520000000004,12,0.11155200000000054
12,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80]",588.4251999999972,13,0.11167090000000002
13,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359]",589.3942000000011,14,0.1118459000000005
14,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8]",591.1244000000033,15,0.11197350000000039
15,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606]",594.525800000002,16,0.11207630000000002
16,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535]",599.1389000000005,17,0.11226970000000058
17,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247]",600.6273999999995,18,0.11240119999999987
18,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76]",606.0868999999979,19,0.11255910000000036
19,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15]",607.5354999999996,20,0.1126693000000003
20,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274]",610.119499999999,21,0.11283560000000037
21,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824]",615.0256999999974,22,0.11299150000000058
22,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162]",618.4816000000004,23,0.11313780000000051
23,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60]",623.0399999999988,24,0.11329000000000011
24,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556]",624.8826000000008,25,0.11341270000000048
25,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196]",627.3169999999967,26,0.11348610000000026
26,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292]",632.3760000000003,27,0.11367770000000021
27,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145]",636.1917000000022,28,0.1138458
28,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154]",643.5635999999978,29,0.11394370000000009
29,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525]",646.9065000000011,30,0.11399770000000053
30,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683]",648.651999999997,31,0.11415510000000051
31,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239]",650.4056999999995,32,0.11426980000000064
32,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310]",651.252299999999,33,0.1144715999999999
33,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192]",657.990099999997,34,0.11457850000000036
34,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890]",662.490099999999,35,0.11473820000000057
35,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111]",665.6018999999978,36,0.11485009999999996
36,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417]",666.5153999999999,37,0.1149602999999999
37,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159]",670.5829999999962,38,0.11506880000000042
38,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426]",675.3971000000025,39,0.11515720000000051
39,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41]",680.6238999999985,40,0.11522260000000006
40,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156]",682.9538999999962,41,0.11535960000000056
41,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515]",685.6625999999958,42,0.11549600000000027
42,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692]",689.2971999999978,43,0.1156233000000002
43,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37]",694.9000999999957,44,0.11573780000000067
44,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422]",699.4269000000005,45,0.11585710000000038
45,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422, 741]",705.0746000000038,46,0.11592550000000035
46,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422, 741, 382]",706.6912999999988,47,0.11602310000000049
47,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422, 741, 382, 140]",709.4946999999992,48,0.11617750000000004
48,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422, 741, 382, 140, 214]",714.4660999999998,49,0.11632920000000002
49,"[131, 639, 287, 267, 100, 559, 608, 124, 66, 236, 646, 412, 80, 359, 8, 606, 535, 247, 76, 15, 274, 4824, 1162, 60, 556, 196, 1292, 145, 154, 525, 3683, 239, 310, 192, 1890, 111, 417, 1159, 426, 41, 156, 515, 1692, 37, 422, 741, 382, 140, 214, 265]",715.1458999999992,50,0.11640329999999999
