,k,run time,average cover size,S
0,1,0.01252310000000012,1479.318,[107]
1,2,0.018322400000000183,1658.455,"[107, 1684]"
2,3,0.022905000000000175,1731.428,"[107, 1684, 1912]"
3,4,0.026070700000000002,1824.001,"[107, 1684, 1912, 3437]"
4,5,0.02742319999999987,1858.975,"[107, 1684, 1912, 3437, 0]"
5,6,0.02841830000000023,1862.654,"[107, 1684, 1912, 3437, 0, 2543]"
6,7,0.029537400000000158,1863.399,"[107, 1684, 1912, 3437, 0, 2543, 2347]"
7,8,0.030983800000000006,1861.959,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888]"
8,9,0.0317801000000002,1861.294,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800]"
9,10,0.03248400000000018,1862.461,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483]"
10,11,0.03338080000000021,1859.402,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348]"
11,12,0.034460900000000017,1860.338,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663]"
12,13,0.03555540000000024,1860.357,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266]"
13,14,0.03683130000000023,1865.225,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352]"
14,15,0.03804389999999991,1863.616,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985]"
15,16,0.03929550000000015,1864.242,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730]"
16,17,0.040372500000000144,1902.065,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686]"
17,18,0.04114219999999991,1899.715,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941]"
18,19,0.042632900000000085,1902.697,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233]"
19,20,0.04369600000000018,1900.89,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431]"
20,21,0.04480580000000023,1902.752,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047]"
21,22,0.046079699999999946,1901.578,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142]"
22,23,0.04723049999999995,1900.757,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199]"
23,24,0.04862959999999994,1899.07,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111]"
24,25,0.04958620000000025,1903.675,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218]"
25,26,0.05063210000000007,1901.993,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414]"
26,27,0.05165730000000002,1902.996,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584]"
27,28,0.05289009999999994,1901.705,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839]"
28,29,0.05378170000000004,1904.17,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133]"
29,30,0.054646400000000206,1905.174,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917]"
30,31,0.056050799999999956,1904.076,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768]"
31,32,0.05720060000000027,1902.672,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768, 3363]"
32,33,0.057954800000000084,1904.978,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768, 3363, 917]"
33,34,0.05877640000000017,1902.467,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768, 3363, 917, 3101]"
34,35,0.05950420000000012,1904.172,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768, 3363, 917, 3101, 2384]"
35,36,0.0605901000000002,1902.692,"[107, 1684, 1912, 3437, 0, 2543, 2347, 1888, 1800, 483, 348, 1663, 2266, 1352, 1985, 1730, 686, 1941, 2233, 1431, 2047, 2142, 1199, 2111, 2218, 414, 1584, 2839, 2133, 1917, 1768, 3363, 917, 3101, 2384, 1983]"
