,k,run time,average cover size,S
0,1,0.0357857000000017,24.6932,[104]
1,2,0.03612320000000224,37.2947,"[104, 22]"
2,3,0.03638820000000109,47.0549,"[104, 22, 40]"
3,4,0.036616699999999724,54.9846,"[104, 22, 40, 332]"
4,5,0.036855900000002606,62.2245,"[104, 22, 40, 332, 15]"
5,6,0.0371313000000022,69.1998,"[104, 22, 40, 332, 15, 232]"
6,7,0.03737170000000134,73.4933,"[104, 22, 40, 332, 15, 232, 23]"
7,8,0.037560300000002655,79.2486,"[104, 22, 40, 332, 15, 232, 23, 41]"
8,9,0.03779890000000208,83.8225,"[104, 22, 40, 332, 15, 232, 23, 41, 71]"
9,10,0.03797559999999933,88.2251,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48]"
10,11,0.0382011999999996,92.7611,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51]"
11,12,0.0383817999999998,96.2887,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577]"
12,13,0.03857110000000219,100.1479,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353]"
13,14,0.03875230000000229,103.5383,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354]"
14,15,0.03893809999999931,107.1286,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428]"
15,16,0.03910199999999975,110.62,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182]"
16,17,0.03926940000000201,114.0247,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433]"
17,18,0.03945500000000024,117.0842,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20]"
18,19,0.03965920000000267,119.5271,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20, 195]"
19,20,0.03989800000000088,122.8474,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20, 195, 587]"
20,21,0.040058000000001925,125.628,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20, 195, 587, 13]"
21,22,0.040252399999999966,128.9606,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20, 195, 587, 13, 563]"
22,23,0.04042540000000017,131.2497,"[104, 22, 40, 332, 15, 232, 23, 41, 71, 48, 51, 577, 353, 354, 428, 182, 433, 20, 195, 587, 13, 563, 133]"
