,k,run time,average cover size,S
0,1,0.024976300000000062,463.397,[104]
1,2,0.02542650000000002,463.719,"[104, 22]"
2,3,0.02576350000000005,465.349,"[104, 22, 40]"
3,4,0.02606110000000017,462.983,"[104, 22, 40, 232]"
4,5,0.026335200000000114,465.496,"[104, 22, 40, 232, 332]"
5,6,0.02670190000000039,464.131,"[104, 22, 40, 232, 332, 23]"
6,7,0.0269961000000003,464.975,"[104, 22, 40, 232, 332, 23, 71]"
7,8,0.02727320000000022,466.177,"[104, 22, 40, 232, 332, 23, 71, 354]"
8,9,0.027539900000000284,465.554,"[104, 22, 40, 232, 332, 23, 71, 354, 75]"
9,10,0.027816800000000086,466.72,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331]"
10,11,0.028077400000000363,467.035,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577]"
11,12,0.028314200000000067,467.909,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51]"
12,13,0.028579800000000155,466.753,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428]"
13,14,0.028800600000000287,469.342,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353]"
14,15,0.029060200000000425,467.366,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15]"
15,16,0.029426000000000396,467.944,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587]"
16,17,0.02963040000000028,467.901,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115]"
17,18,0.029879700000000398,467.09,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551]"
18,19,0.03012270000000017,469.125,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151]"
19,20,0.03031790000000001,469.247,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133]"
20,21,0.03057190000000043,470.127,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236]"
21,22,0.03078200000000031,470.27,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302]"
22,23,0.0309832000000001,471.043,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482]"
23,24,0.03119340000000026,471.895,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13]"
24,25,0.03142020000000034,470.974,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195]"
25,26,0.031771600000000344,471.517,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68]"
26,27,0.031971799999999995,472.999,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218]"
27,28,0.03221630000000042,472.654,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597]"
28,29,0.032392600000000105,473.63,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119]"
29,30,0.03258490000000025,475.217,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375]"
30,31,0.03278400000000037,475.054,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26]"
31,32,0.03293550000000023,475.395,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548]"
32,33,0.03312710000000019,477.731,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459]"
33,34,0.03334220000000032,479.794,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312]"
34,35,0.0334835,480.735,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307]"
35,36,0.033644600000000136,479.782,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366]"
36,37,0.033836200000000094,480.904,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182]"
37,38,0.03407170000000015,482.645,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321]"
38,39,0.03427260000000043,482.046,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92]"
39,40,0.03445790000000004,484.3,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92, 774]"
40,41,0.034640100000000285,483.169,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92, 774, 105]"
41,42,0.0349062,483.779,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92, 774, 105, 593]"
42,43,0.035070500000000226,485.47,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92, 774, 105, 593, 89]"
43,44,0.03523960000000015,482.783,"[104, 22, 40, 232, 332, 23, 71, 354, 75, 331, 577, 51, 428, 353, 15, 587, 115, 551, 151, 133, 236, 302, 482, 13, 195, 68, 218, 597, 119, 375, 26, 548, 459, 312, 307, 366, 182, 321, 92, 774, 105, 593, 89, 395]"
