,S,average cover size,k,run time
0,[104],58.664,1,0.05128129999999942
1,"[104, 22]",75.312,2,0.0524369999999994
2,"[104, 22, 40]",94.116,3,0.05324949999999973
3,"[104, 22, 40, 332]",101.659,4,0.05404189999999964
4,"[104, 22, 40, 332, 15]",109.48,5,0.054858799999999874
5,"[104, 22, 40, 332, 15, 232]",116.75,6,0.05584819999999979
6,"[104, 22, 40, 332, 15, 232, 23]",121.021,7,0.05667429999999918
7,"[104, 22, 40, 332, 15, 232, 23, 71]",125.318,8,0.057325799999999205
8,"[104, 22, 40, 332, 15, 232, 23, 71, 41]",131.053,9,0.057932899999999066
9,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48]",135.818,10,0.05873439999999874
10,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51]",140.317,11,0.0594437999999986
11,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340]",144.941,12,0.060075899999999294
12,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428]",147.175,13,0.060645499999999686
13,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353]",153.121,14,0.061323899999999654
14,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354]",153.829,15,0.061951799999999224
15,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433]",159.072,16,0.0626187999999992
16,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563]",163.997,17,0.06319569999999963
17,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20]",163.793,18,0.0638273999999992
18,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20, 587]",168.842,19,0.06451309999999921
19,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20, 587, 195]",169.884,20,0.06503929999999869
20,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20, 587, 195, 13]",174.031,21,0.06581489999999945
21,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20, 587, 195, 13, 182]",174.609,22,0.06640200000000007
22,"[104, 22, 40, 332, 15, 232, 23, 71, 41, 48, 51, 340, 428, 353, 354, 433, 563, 20, 587, 195, 13, 182, 151]",177.785,23,0.06695959999999879
