,k,run time,average cover size,S
0,1,0.0769599000000003,88.3626,[1143]
1,2,0.07761980000000035,110.7689,"[1143, 1689]"
2,3,0.0781714,149.9322,"[1143, 1689, 435]"
3,4,0.07878590000000019,209.3162,"[1143, 1689, 435, 604]"
4,5,0.07930470000000023,233.7838,"[1143, 1689, 435, 604, 970]"
5,6,0.0796007000000003,246.3027,"[1143, 1689, 435, 604, 970, 897]"
6,7,0.07990889999999995,258.7946,"[1143, 1689, 435, 604, 970, 897, 521]"
7,8,0.0801457000000001,309.6243,"[1143, 1689, 435, 604, 970, 897, 521, 638]"
8,9,0.08034880000000033,353.4786,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636]"
9,10,0.08050410000000019,362.569,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460]"
10,11,0.08064120000000008,380.0325,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369]"
11,12,0.08078240000000037,388.8174,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418]"
12,13,0.08095590000000019,416.8974,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865]"
13,14,0.0811415000000002,432.2425,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466]"
14,15,0.08129359999999997,457.8078,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179]"
15,16,0.08144670000000032,515.5886,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111]"
16,17,0.081588,556.6982,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324]"
17,18,0.08171010000000001,572.6757,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631]"
18,19,0.08183549999999995,591.5258,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520]"
19,20,0.0819668,617.9103,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227]"
20,21,0.0821345,628.9527,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370]"
21,22,0.08228210000000002,653.706,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795]"
22,23,0.08241140000000025,681.9421,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019]"
23,24,0.08253620000000028,687.2044,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346]"
24,25,0.08265180000000028,710.4069,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777]"
25,26,0.08276470000000025,736.97,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179]"
26,27,0.08287820000000012,765.999,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338]"
27,28,0.08299860000000026,786.5611,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115]"
28,29,0.08312070000000027,787.9896,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346]"
29,30,0.08327960000000001,799.4967,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435]"
30,31,0.08349490000000026,807.5585,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330]"
31,32,0.08362390000000008,818.3626,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689]"
32,33,0.08373169999999996,827.2616,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351]"
33,34,0.08386990000000027,828.6661,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351, 4951]"
34,35,0.08407240000000016,872.3401,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351, 4951, 300]"
35,36,0.08417319999999995,879.5029,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351, 4951, 300, 653]"
36,37,0.08441260000000028,895.9298,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351, 4951, 300, 653, 702]"
37,38,0.08465630000000024,919.4583,"[1143, 1689, 435, 604, 970, 897, 521, 638, 636, 460, 369, 418, 865, 4466, 1179, 111, 324, 631, 520, 1227, 370, 795, 2019, 346, 777, 179, 1338, 2115, 3346, 1435, 1330, 689, 5351, 4951, 300, 653, 702, 1406]"
