,k,run time,average cover size,S
0,1,0.0088484000000002,74.9758,[104]
1,2,0.009255000000000013,125.9401,"[104, 22]"
2,3,0.009493400000000207,144.5633,"[104, 22, 232]"
3,4,0.009711600000000153,174.647,"[104, 22, 232, 15]"
4,5,0.009965800000000247,193.9481,"[104, 22, 232, 15, 134]"
5,6,0.01017329999999994,221.1269,"[104, 22, 232, 15, 134, 133]"
6,7,0.010420300000000271,226.8213,"[104, 22, 232, 15, 134, 133, 332]"
7,8,0.010644500000000168,322.2025,"[104, 22, 232, 15, 134, 133, 332, 9]"
8,9,0.010828400000000293,351.3612,"[104, 22, 232, 15, 134, 133, 332, 9, 105]"
9,10,0.011011199999999999,435.382,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0]"
10,11,0.011204900000000073,439.8317,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354]"
11,12,0.011401900000000076,442.4152,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298]"
12,13,0.011574299999999926,447.2384,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340]"
13,14,0.01175560000000031,449.8628,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142]"
14,15,0.011911400000000238,454.6762,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375]"
15,16,0.012066200000000027,457.471,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353]"
16,17,0.012230300000000138,460.7048,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302]"
17,18,0.012409799999999915,464.3758,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236]"
18,19,0.012548500000000296,466.2238,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240]"
19,20,0.012689799999999973,479.1209,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20]"
20,21,0.012905200000000061,485.318,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13]"
21,22,0.013066699999999987,489.8592,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182]"
22,23,0.013266000000000222,494.187,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195]"
23,24,0.013497899999999952,494.5501,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130]"
24,25,0.013616000000000295,496.6524,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119]"
25,26,0.013793699999999909,498.0883,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141]"
26,27,0.013910099999999925,499.45,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307]"
27,28,0.014020100000000202,502.0132,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395]"
28,29,0.014180300000000035,504.0426,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184]"
29,30,0.014338600000000312,507.1561,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127]"
30,31,0.01452320000000018,509.5901,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453]"
31,32,0.014656599999999909,512.6343,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103]"
32,33,0.014733000000000107,515.6235,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106]"
33,34,0.014815000000000023,517.4264,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144]"
34,35,0.014898700000000265,518.8663,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218]"
35,36,0.015026399999999995,523.7989,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426]"
36,37,0.015126100000000253,526.6868,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482]"
37,38,0.015227400000000113,528.9184,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286]"
38,39,0.015369200000000305,531.5491,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355]"
39,40,0.015548100000000176,533.2745,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355, 139]"
40,41,0.015714000000000006,535.9895,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355, 139, 203]"
41,42,0.015933799999999998,538.666,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355, 139, 203, 351]"
42,43,0.016039600000000043,543.8187,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355, 139, 203, 351, 100]"
43,44,0.016125000000000167,543.7452,"[104, 22, 232, 15, 134, 133, 332, 9, 105, 0, 354, 298, 340, 142, 375, 353, 302, 236, 240, 20, 13, 182, 195, 130, 119, 141, 307, 395, 184, 127, 453, 103, 106, 144, 218, 426, 482, 286, 355, 139, 203, 351, 100, 135]"
