,S,average cover size,k,run time
0,[131],3270.411,1,0.13919739999999958
1,"[131, 639]",3274.053,2,0.13941219999999976
2,"[131, 639, 287]",3273.101,3,0.13965929999999993
3,"[131, 639, 287, 267]",3277.742,4,0.13989519999999978
4,"[131, 639, 287, 267, 100]",3277.633,5,0.14008079999999978
5,"[131, 639, 287, 267, 100, 608]",3286.419,6,0.1403445999999997
6,"[131, 639, 287, 267, 100, 608, 559]",3286.927,7,0.14049659999999964
7,"[131, 639, 287, 267, 100, 608, 559, 124]",3295.533,8,0.14068109999999923
8,"[131, 639, 287, 267, 100, 608, 559, 124, 66]",3308.325,9,0.1408984999999996
9,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236]",3312.231,10,0.14108839999999923
10,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359]",3309.121,11,0.1412343999999992
11,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80]",3320.282,12,0.14138959999999923
12,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646]",3320.609,13,0.14160329999999988
13,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412]",3327.331,14,0.14175439999999995
14,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606]",3327.437,15,0.14190319999999979
15,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8]",3326.801,16,0.14211069999999992
16,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535]",3330.405,17,0.14223539999999968
17,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247]",3331.265,18,0.1423817999999999
18,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292]",3352.592,19,0.14251329999999918
19,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292, 76]",3341.739,20,0.14267579999999924
20,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292, 76, 274]",3349.816,21,0.14280969999999993
21,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292, 76, 274, 15]",3345.952,22,0.14298199999999994
22,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292, 76, 274, 15, 1162]",3362.498,23,0.14317339999999934
23,"[131, 639, 287, 267, 100, 608, 559, 124, 66, 236, 359, 80, 646, 412, 606, 8, 535, 247, 1292, 76, 274, 15, 1162, 4824]",3360.655,24,0.14335129999999996
