,k,run time,average cover size,S
0,1,0.09062970000000004,831.263,[107]
1,2,0.09409819999999991,1053.721,"[107, 1912]"
2,3,0.09668829999999984,1301.932,"[107, 1912, 1684]"
3,4,0.09912179999999982,1563.024,"[107, 1912, 1684, 3437]"
4,5,0.10081669999999976,1852.833,"[107, 1912, 1684, 3437, 0]"
5,6,0.1019009999999998,1849.742,"[107, 1912, 1684, 3437, 0, 1985]"
6,7,0.10259300000000016,1856.203,"[107, 1912, 1684, 3437, 0, 1985, 1941]"
7,8,0.1034164999999998,1872.492,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483]"
8,9,0.10408740000000005,1987.106,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686]"
9,10,0.10462410000000011,1988.551,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983]"
10,11,0.10522810000000016,2040.658,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348]"
11,12,0.10596529999999982,2039.964,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126]"
12,13,0.10652660000000003,2048.784,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086]"
13,14,0.10708479999999998,2053.63,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962]"
14,15,0.10768390000000005,2049.973,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962, 2047]"
15,16,0.1082860000000001,2054.96,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962, 2047, 1078]"
16,17,0.10879729999999999,2060.884,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962, 2047, 1078, 1943]"
17,18,0.1094542999999999,2065.238,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962, 2047, 1078, 1943, 1577]"
18,19,0.1099836999999999,2072.491,"[107, 1912, 1684, 3437, 0, 1985, 1941, 483, 686, 1983, 348, 1126, 1086, 1962, 2047, 1078, 1943, 1577, 1199]"
