,S,average cover size,k,run time
0,[4840],572.557,1,0.9516512000000024
1,"[4840, 17544]",950.138,2,0.9528812999999996
2,"[4840, 17544, 25609]",1144.612,3,0.9537458000000019
3,"[4840, 17544, 25609, 23571]",1162.09,4,0.9541669000000024
4,"[4840, 17544, 25609, 23571, 5567]",1295.348,5,0.9546611000000009
5,"[4840, 17544, 25609, 23571, 5567, 3333]",1317.054,6,0.9556076999999998
6,"[4840, 17544, 25609, 23571, 5567, 3333, 3460]",1537.027,7,0.9564670999999993
7,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515]",1523.296,8,0.9569969999999994
8,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866]",1676.001,9,0.9576793000000006
9,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758]",1802.571,10,0.9585610000000013
10,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907]",1942.558,11,0.959443000000002
11,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081]",2021.781,12,0.9601133999999991
12,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580]",2023.737,13,0.9608627999999992
13,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723]",2123.243,14,0.9617896000000012
14,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192]",2256.198,15,0.9626566000000008
15,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342]",2327.091,16,0.9634692000000005
16,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551]",2392.586,17,0.9641493000000008
17,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132]",2467.516,18,0.9649742999999997
18,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132, 22777]",2453.592,19,0.9655027
19,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132, 22777, 5120]",2573.543,20,0.9663702999999995
20,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132, 22777, 5120, 1866]",2613.222,21,0.9670313000000004
21,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132, 22777, 5120, 1866, 13439]",2614.819,22,0.9674406000000015
22,"[4840, 17544, 25609, 23571, 5567, 3333, 3460, 8515, 14866, 15758, 11907, 12081, 25580, 1723, 5192, 6342, 5551, 7132, 22777, 5120, 1866, 13439, 3216]",2636.853,23,0.9680520000000019
