,S,average cover size,k,run time
0,"[35807, 248259, 200753, 21472, 40138]",56.52199999999986,5,3.4571240000000003
1,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772]",105.69599999999978,10,2.8208561000000003
2,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464]",154.3720000000004,15,3.387241999999997
3,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846]",201.4530000000001,20,3.379203499999999
4,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669]",250.30000000000007,25,3.4935966000000036
5,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669, 211809, 210007, 15434, 21111, 18944]",295.6620000000001,30,2.7814016000000024
6,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669, 211809, 210007, 15434, 21111, 18944, 23253, 55712, 138330, 135031, 166979]",351.4480000000006,35,3.4455957999999995
7,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669, 211809, 210007, 15434, 21111, 18944, 23253, 55712, 138330, 135031, 166979, 137240, 169787, 197452, 215208, 95524]",392.8099999999997,40,3.310298500000002
8,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669, 211809, 210007, 15434, 21111, 18944, 23253, 55712, 138330, 135031, 166979, 137240, 169787, 197452, 215208, 95524, 130969, 124190, 176165, 221525, 60629]",442.7959999999995,45,3.411525900000001
9,"[35807, 248259, 200753, 21472, 40138, 40275, 184318, 27110, 196691, 64772, 89990, 95893, 104757, 218892, 226464, 59295, 96622, 57418, 61213, 108846, 71778, 127086, 165805, 193791, 207669, 211809, 210007, 15434, 21111, 18944, 23253, 55712, 138330, 135031, 166979, 137240, 169787, 197452, 215208, 95524, 130969, 124190, 176165, 221525, 60629, 58312, 151096, 242096, 88543, 59940]",497.3120000000005,50,3.4115990999999966
