,S,average cover size,k,run time
0,"[2419, 6737, 57571, 18972, 11323]",4445.016000000006,5,3.4344775
1,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267]",7057.069000000007,10,2.882914200000002
2,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427]",8680.265000000003,15,3.9555720999999977
3,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110]",11203.107000000004,20,3.463624600000003
4,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992]",13648.980999999985,25,2.8778132999999855
5,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992, 5489, 21759, 130594, 5771, 7372]",15402.958000000015,30,3.5939518000000135
6,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992, 5489, 21759, 130594, 5771, 7372, 4777, 25208, 96321, 26706, 6948]",16457.977000000024,35,3.4172596000000226
7,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992, 5489, 21759, 130594, 5771, 7372, 4777, 25208, 96321, 26706, 6948, 5470, 9449, 16392, 11457, 71372]",18141.66900000001,40,3.478078200000027
8,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992, 5489, 21759, 130594, 5771, 7372, 4777, 25208, 96321, 26706, 6948, 5470, 9449, 16392, 11457, 71372, 976, 9785, 13235, 46911, 41908]",19151.89999999999,45,2.9086995000000115
9,"[2419, 6737, 57571, 18972, 11323, 5945, 13830, 4799, 18917, 19267, 61546, 10346, 21466, 9220, 7427, 23414, 9820, 13877, 1442, 12110, 5767, 10825, 13884, 6433, 3992, 5489, 21759, 130594, 5771, 7372, 4777, 25208, 96321, 26706, 6948, 5470, 9449, 16392, 11457, 71372, 976, 9785, 13235, 46911, 41908, 12820, 63861, 6757, 6567, 62336]",20311.468,50,3.501644699999929
