,S,average cover size,k,run time
0,"[763, 5232, 634, 5227, 645]",4409.001000000006,5,0.9665946999999999
1,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720]",6000.678000000001,10,0.7955915000000005
2,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248]",7275.304000000004,15,0.9919292000000013
3,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770]",8287.095999999996,20,0.9904513000000037
4,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415]",8942.997999999998,25,1.0033339000000012
5,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415, 5382, 629, 1059, 7687, 2066]",9707.150000000001,30,1.3033854999999903
6,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415, 5382, 629, 1059, 7687, 2066, 6774, 7040, 71388, 6003, 1501]",10267.371000000008,35,1.0667531999999937
7,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415, 5382, 629, 1059, 7687, 2066, 6774, 7040, 71388, 6003, 1501, 44, 492, 7392, 616, 824]",10846.025,40,1.0172004000000356
8,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415, 5382, 629, 1059, 7687, 2066, 6774, 7040, 71388, 6003, 1501, 44, 492, 7392, 616, 824, 7394, 5144, 600, 11780, 1189]",11277.550999999998,45,1.369086100000004
9,"[763, 5232, 634, 5227, 645, 71399, 1835, 4920, 7047, 1720, 3924, 5224, 637, 1533, 16248, 2704, 3527, 145, 2969, 770, 1596, 7592, 9412, 1299, 3415, 5382, 629, 1059, 7687, 2066, 6774, 7040, 71388, 6003, 1501, 44, 492, 7392, 616, 824, 7394, 5144, 600, 11780, 1189, 8183, 1669, 1725, 650, 1727]",11744.522999999997,50,1.3343753000000333
