,S,average cover size,k,run time
0,"[66, 37, 682, 267, 105]",247.51999999999978,5,0.1283814999999997
1,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629]",366.92000000000036,10,0.07652220000000032
2,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689]",505.7719999999994,15,0.08938030000000019
3,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573]",621.4500000000003,20,0.07592580000000027
4,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827]",729.7099999999992,25,0.10679690000000086
5,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827, 196, 239, 989, 3684, 326]",788.7730000000009,30,0.07610760000000028
6,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827, 196, 239, 989, 3684, 326, 236, 2100, 224, 5335, 43]",867.5419999999989,35,0.12608519999999857
7,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827, 196, 239, 989, 3684, 326, 236, 2100, 224, 5335, 43, 6057, 3978, 1537, 287, 753]",936.5149999999994,40,0.162002600000001
8,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827, 196, 239, 989, 3684, 326, 236, 2100, 224, 5335, 43, 6057, 3978, 1537, 287, 753, 1320, 1241, 6040, 140, 124]",1012.4579999999992,45,0.08018479999999784
9,"[66, 37, 682, 267, 105, 192, 1987, 507, 592, 5629, 156, 1159, 512, 1635, 1689, 4266, 2462, 2796, 3210, 6573, 563, 638, 1434, 474, 1827, 196, 239, 989, 3684, 326, 236, 2100, 224, 5335, 43, 6057, 3978, 1537, 287, 753, 1320, 1241, 6040, 140, 124, 1730, 4469, 110, 2119, 1955]",1082.4570000000003,50,0.28863349999999954
