,S,average cover size,k,run time
0,[1441],1.726999999999969,1,0.10589950000000048
1,"[1441, 19615]",3.4159999999999675,2,0.10529780000000066
2,"[1441, 19615, 63113]",5.210999999999957,3,0.10414119999999993
3,"[1441, 19615, 63113, 30744]",6.77799999999995,4,0.10261419999999966
4,"[1441, 19615, 63113, 30744, 23420]",8.470999999999972,5,0.15413820000000023
5,"[1441, 19615, 63113, 30744, 23420, 44262]",9.987999999999923,6,0.10407839999999968
6,"[1441, 19615, 63113, 30744, 23420, 44262, 59077]",11.806999999999931,7,0.10479719999999926
7,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973]",13.443999999999948,8,0.10252140000000054
8,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160]",14.813999999999956,9,0.1034461000000011
9,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517]",16.267999999999976,10,0.10413850000000124
10,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742]",18.07299999999999,11,0.10345440000000039
11,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164]",19.173999999999918,12,0.10310050000000004
12,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512]",20.953999999999915,13,0.10389409999999977
13,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085]",22.337999999999887,14,0.14023390000000013
14,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648]",24.006999999999913,15,0.10463559999999994
15,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142]",25.483999999999885,16,0.1038326000000005
16,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926]",27.0919999999999,17,0.10503010000000046
17,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926, 46139]",28.505999999999933,18,0.10408220000000057
18,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926, 46139, 17370]",29.895999999999937,19,0.1046800000000001
19,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926, 46139, 17370, 29715]",31.296000000000003,20,0.10675119999999971
20,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926, 46139, 17370, 29715, 20394]",32.88600000000008,21,0.10437010000000058
21,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 16164, 33512, 39085, 13648, 6142, 60926, 46139, 17370, 29715, 20394, 48570]",34.27800000000002,22,0.10436369999999862
