,k,run time,average cover size,S
0,1,0.1675662,3.292999999999968,[200]
1,2,0.3094682999999998,6.047999999999956,"[200, 326]"
2,3,0.5566787,8.84799999999996,"[200, 326, 267]"
3,4,0.8531416999999997,11.356999999999935,"[200, 326, 267, 638]"
4,5,1.2435396999999995,13.905999999999949,"[200, 326, 267, 638, 66]"
5,6,1.7288708000000002,16.345999999999965,"[200, 326, 267, 638, 66, 287]"
6,7,2.2800389,18.74399999999992,"[200, 326, 267, 638, 66, 287, 512]"
7,8,2.8253883999999996,20.46099999999989,"[200, 326, 267, 638, 66, 287, 512, 744]"
8,9,3.5021262999999996,22.923999999999868,"[200, 326, 267, 638, 66, 287, 512, 744, 1775]"
9,10,4.251562799999999,24.902999999999878,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124]"
10,11,5.0586820999999995,26.96999999999989,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059]"
11,12,5.972514,28.6919999999999,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196]"
12,13,7.0294468000000006,31.200999999999997,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156]"
13,14,8.0350179,33.037000000000006,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159]"
14,15,9.1840524,35.344,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689]"
15,16,10.3647022,37.062,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265]"
16,17,11.6616379,39.23799999999995,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955]"
17,18,12.9654003,41.18199999999991,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192]"
18,19,14.336848999999999,42.60199999999981,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192, 547]"
19,20,15.766485699999999,44.59699999999985,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192, 547, 75]"
20,21,17.314743,46.15099999999979,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192, 547, 75, 592]"
21,22,18.9088656,48.059999999999825,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192, 547, 75, 592, 5651]"
22,23,20.495907799999998,49.781999999999734,"[200, 326, 267, 638, 66, 287, 512, 744, 1775, 124, 1059, 196, 156, 1159, 1689, 265, 1955, 192, 547, 75, 592, 5651, 426]"
