,k,run time,average cover size,S
0,1,0.41990170000000004,8.272999999999948,[131]
1,2,0.9194945000000003,13.315999999999951,"[131, 639]"
2,3,1.5712757000000002,18.40399999999996,"[131, 639, 287]"
3,4,2.4731569,22.360999999999937,"[131, 639, 287, 267]"
4,5,3.4819478999999998,25.8699999999999,"[131, 639, 287, 267, 608]"
5,6,4.6697257,28.73099999999992,"[131, 639, 287, 267, 608, 100]"
6,7,6.079992700000001,32.38100000000001,"[131, 639, 287, 267, 608, 100, 559]"
7,8,7.592976900000001,35.501999999999946,"[131, 639, 287, 267, 608, 100, 559, 124]"
8,9,9.252013300000002,38.68799999999994,"[131, 639, 287, 267, 608, 100, 559, 124, 359]"
9,10,11.0414502,41.30199999999994,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66]"
10,11,12.9155121,43.47599999999985,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292]"
11,12,14.875022900000001,46.420999999999836,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236]"
12,13,17.0959119,49.55599999999985,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80]"
13,14,19.370602700000003,52.10999999999987,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646]"
14,15,21.8816244,54.704999999999906,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412]"
15,16,24.5571296,57.988999999999855,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76]"
16,17,27.4724007,60.05999999999985,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606]"
17,18,30.3765075,62.658999999999956,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535]"
18,19,33.4186554,64.75500000000002,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8]"
19,20,36.5042834,67.97300000000008,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247]"
20,21,40.1341718,71.15600000000003,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274]"
21,22,43.8147247,74.02800000000002,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15]"
22,23,47.4525096,75.9929999999999,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683]"
23,24,51.3247344,78.41599999999987,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162]"
24,25,55.30554,79.78499999999994,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824]"
25,26,59.4306165,82.53799999999993,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196]"
26,27,63.736905799999995,85.32899999999987,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553]"
27,28,68.1084129,87.1149999999998,"[131, 639, 287, 267, 608, 100, 559, 124, 359, 66, 1292, 236, 80, 646, 412, 76, 606, 535, 8, 247, 274, 15, 3683, 1162, 4824, 196, 553, 60]"
