,k,run time,average cover size,S
0,1,0.1160000000000001,3.5069999999999584,[4840]
1,2,0.06991449999999988,8.987999999999962,"[4840, 26536]"
2,3,0.15029950000000003,12.494999999999937,"[4840, 26536, 1568]"
3,4,0.10158869999999975,17.103999999999953,"[4840, 26536, 1568, 4115]"
4,5,0.09725699999999993,20.88899999999992,"[4840, 26536, 1568, 4115, 1520]"
5,6,0.11547449999999948,26.275999999999982,"[4840, 26536, 1568, 4115, 1520, 15347]"
6,7,0.07128350000000072,30.44899999999995,"[4840, 26536, 1568, 4115, 1520, 15347, 25580]"
7,8,0.11667830000000023,35.268999999999984,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567]"
8,9,0.07092779999999976,37.45999999999997,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216]"
9,10,0.07046459999999932,42.04099999999996,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963]"
10,11,0.15489520000000034,44.89599999999991,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809]"
11,12,0.1079232999999995,46.821999999999896,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061]"
12,13,0.11835219999999858,50.77299999999984,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061, 12110]"
13,14,0.07167600000000007,54.45499999999984,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061, 12110, 3333]"
14,15,0.12039099999999792,59.62199999999991,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061, 12110, 3333, 29448]"
15,16,0.07251600000000025,62.42899999999996,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061, 12110, 3333, 29448, 14692]"
16,17,0.07224689999999967,65.97900000000001,"[4840, 26536, 1568, 4115, 1520, 15347, 25580, 5567, 3216, 9963, 809, 5061, 12110, 3333, 29448, 14692, 17544]"
