,S,average cover size,k,run time
0,[1441],1.7629999999999724,1,0.02628020000000042
1,"[1441, 19615]",3.607999999999959,2,0.02335299999999929
2,"[1441, 19615, 63113]",5.428999999999948,3,0.02282549999999972
3,"[1441, 19615, 63113, 30744]",7.482999999999961,4,0.02311469999999982
4,"[1441, 19615, 63113, 30744, 23420]",9.089999999999964,5,0.06308259999999954
5,"[1441, 19615, 63113, 30744, 23420, 44262]",10.784999999999934,6,0.023566599999998772
6,"[1441, 19615, 63113, 30744, 23420, 44262, 59077]",13.294999999999932,7,0.023329599999998507
7,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973]",16.00299999999997,8,0.023829800000001455
8,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160]",18.574999999999964,9,0.03480790000000056
9,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517]",21.7879999999999,10,0.023730199999999257
10,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742]",24.89199999999988,11,0.024605100000002267
11,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512]",26.551999999999886,12,0.025285500000002514
12,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085]",31.758999999999947,13,0.023270799999998815
13,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164]",34.68799999999999,14,0.07229839999999399
14,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648]",38.46799999999992,15,0.023646499999998127
15,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142]",41.67900000000002,16,0.023274700000001758
16,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139]",44.438999999999936,17,0.02361969999999758
17,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926]",46.76599999999985,18,0.023713099999994824
18,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715]",50.881999999999806,19,0.023745600000012246
19,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370]",52.728999999999765,20,0.023593500000004042
20,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394]",56.559999999999945,21,0.02465039999998453
21,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570]",59.93699999999985,22,0.024146599999994578
22,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192]",66.02799999999986,23,0.06397890000002349
23,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111]",66.93999999999996,24,0.024445500000013
24,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726]",69.56199999999997,25,0.025276000000019394
25,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168]",72.11499999999994,26,0.024529500000028293
26,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697]",72.78,27,0.025013900000033118
27,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697, 29595]",75.92099999999984,28,0.025113000000033026
28,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697, 29595, 3423]",77.62099999999995,29,0.02472729999999501
29,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697, 29595, 3423, 14017]",79.79999999999986,30,0.025215699999989738
30,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697, 29595, 3423, 14017, 57878]",80.73899999999986,31,0.024866099999997004
31,"[1441, 19615, 63113, 30744, 23420, 44262, 59077, 48973, 30160, 40517, 61742, 33512, 39085, 16164, 13648, 6142, 46139, 60926, 29715, 17370, 20394, 48570, 48192, 68111, 14726, 65168, 63697, 29595, 3423, 14017, 57878, 49295]",84.00799999999971,32,0.06741400000004205
