,S,average cover size,k,run time
0,[100],1.9749999999999672,1,0.03494179999999947
1,"[100, 474]",3.8639999999999617,2,0.09118350000000053
2,"[100, 474, 239]",5.959999999999945,3,0.03359999999999985
3,"[100, 474, 239, 196]",8.145999999999953,4,0.03313789999999983
4,"[100, 474, 239, 196, 639]",9.925999999999958,5,0.0330054999999998
5,"[100, 474, 239, 196, 639, 80]",12.489999999999922,6,0.03298189999999934
6,"[100, 474, 239, 196, 639, 80, 606]",14.54899999999995,7,0.03356619999999921
7,"[100, 474, 239, 196, 639, 80, 606, 287]",17.156999999999965,8,0.07198759999999993
8,"[100, 474, 239, 196, 639, 80, 606, 287, 14]",20.87199999999995,9,0.033714099999997416
9,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994]",25.050999999999846,10,0.034007199999997795
10,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124]",27.587999999999884,11,0.034225900000002696
11,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705]",31.410999999999866,12,0.033617299999995964
12,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634]",33.660999999999916,13,0.034711800000003734
13,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266]",37.405999999999985,14,0.0893587999999994
14,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66]",38.69499999999995,15,0.03517439999998828
15,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525]",41.80699999999999,16,0.03558889999999337
16,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162]",42.75999999999991,17,0.03485810000000811
17,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27]",48.41399999999994,18,0.03521309999999289
18,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599]",51.01799999999989,19,0.03480619999999135
19,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326]",54.442999999999934,20,0.07482769999998595
20,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292]",56.77499999999982,21,0.03530680000000075
21,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824]",57.383999999999865,22,0.03483770000002551
22,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131]",61.9809999999999,23,0.036283700000012686
23,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88]",67.10799999999995,24,0.035788700000011886
24,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210]",70.47900000000007,25,0.03553700000003346
25,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221]",72.01599999999996,26,0.07707590000001119
26,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869]",76.05699999999986,27,0.03549119999996719
27,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192]",78.26599999999993,28,0.03546840000001339
28,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359]",80.2439999999998,29,0.05378910000001724
29,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457]",85.4659999999999,30,0.035870900000020356
30,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128]",87.3119999999997,31,0.0362604000000033
31,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99]",91.42299999999967,32,0.0794920999999249
32,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559]",95.08799999999972,33,0.03683190000003833
33,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251]",98.91399999999972,34,0.03653610000003482
34,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563]",101.32699999999969,35,0.03597480000007636
35,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382]",106.4469999999996,36,0.036198399999989306
36,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535]",109.10499999999954,37,0.03643739999995432
37,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15]",112.89199999999992,38,0.08057659999997213
38,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159]",117.19399999999996,39,0.03634539999995923
39,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553]",120.19499999999984,40,0.03701970000008714
40,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105]",123.96299999999991,41,0.0377849999999853
41,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236]",126.28699999999992,42,0.03731440000001385
42,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562]",126.99300000000011,43,0.07803489999992053
43,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60]",131.1730000000001,44,0.03717219999998633
44,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412]",132.09400000000028,45,0.03774299999986397
45,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412, 37]",133.75500000000005,46,0.03758230000016738
46,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412, 37, 140]",136.62600000000023,47,0.037885799999912706
47,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412, 37, 140, 8899]",149.26500000000036,48,0.04284870000014962
48,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412, 37, 140, 8899, 363]",152.00100000000023,49,0.0864310999997997
49,"[100, 474, 239, 196, 639, 80, 606, 287, 14, 9994, 124, 705, 634, 266, 66, 525, 1162, 27, 599, 326, 1292, 4824, 131, 88, 210, 221, 1869, 192, 359, 457, 128, 99, 559, 251, 563, 382, 535, 15, 159, 553, 105, 236, 562, 60, 412, 37, 140, 8899, 363, 3138]",154.02700000000036,50,0.039699299999938376
