,S,average cover size,k,run time
0,[19615],1.7309999999999708,1,0.008131399999967925
1,"[19615, 30744]",3.345999999999966,2,0.008508099999971819
2,"[19615, 30744, 62227]",5.019999999999954,3,0.0075416999999902146
3,"[19615, 30744, 62227, 61742]",6.506999999999946,4,0.007411600000011731
4,"[19615, 30744, 62227, 61742, 24394]",7.913999999999979,5,0.051658900000006724
5,"[19615, 30744, 62227, 61742, 24394, 50568]",9.454999999999949,6,0.007255499999985204
6,"[19615, 30744, 62227, 61742, 24394, 50568, 11403]",10.84799999999992,7,0.007095999999989999
7,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113]",12.500999999999923,8,0.007137100000022656
8,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715]",14.237999999999923,9,0.007132200000000921
9,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226]",15.495999999999976,10,0.007425600000033228
10,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370]",16.87799999999997,11,0.007676899999978559
11,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648]",18.460999999999952,12,0.007333500000015647
12,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164]",20.10999999999994,13,0.007288699999946857
13,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687]",21.33899999999994,14,0.00725169999998343
14,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669]",22.69999999999989,15,0.0408022000000301
15,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142]",24.10399999999986,16,0.007778500000028998
16,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077]",25.625999999999877,17,0.007057599999996
17,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160]",26.99499999999992,18,0.007311099999981252
18,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973]",28.571999999999925,19,0.0069811999999842556
19,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973, 21380]",29.97699999999996,20,0.007364400000028581
