,k,run time,average cover size,S
0,1,0.009347299999973302,1.7249999999999701,[474]
1,2,0.037509000000000015,3.260999999999961,"[474, 99]"
2,3,0.009121299999975463,4.968999999999962,"[474, 99, 100]"
3,4,0.00977520000000709,6.7509999999999595,"[474, 99, 100, 705]"
4,5,0.00897310000001994,8.139999999999967,"[474, 99, 100, 705, 328]"
5,6,0.009830599999986589,9.768999999999947,"[474, 99, 100, 705, 328, 239]"
6,7,0.009330999999974665,11.283999999999917,"[474, 99, 100, 705, 328, 239, 287]"
7,8,0.008730399999990368,12.703999999999949,"[474, 99, 100, 705, 328, 239, 287, 326]"
8,9,0.034692500000005566,14.381999999999953,"[474, 99, 100, 705, 328, 239, 287, 326, 196]"
9,10,0.009367199999985587,15.918999999999976,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482]"
10,11,0.009038000000003876,17.376999999999967,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221]"
11,12,0.008935500000006869,19.130999999999943,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124]"
12,13,0.008658799999977873,20.305999999999944,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1]"
13,14,0.008970699999991893,21.91599999999994,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266]"
14,15,0.03443010000000868,22.960999999999913,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273]"
15,16,0.008919699999978548,24.645999999999862,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14]"
16,17,0.008783200000010538,25.9999999999999,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525]"
17,18,0.009059199999995826,27.496999999999908,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230]"
18,19,0.012718100000000732,28.949999999999896,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246]"
19,20,0.012207700000004706,30.01499999999995,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244]"
20,21,0.03544919999998797,31.34399999999998,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267]"
21,22,0.008809100000007675,32.71899999999997,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869]"
22,23,0.008672899999993433,34.471000000000004,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363]"
23,24,0.008931599999982609,35.78899999999998,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27]"
24,25,0.012711400000000594,37.02899999999995,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175]"
25,26,0.009369899999995823,38.06499999999994,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4]"
26,27,0.008749800000003916,39.55099999999999,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80]"
27,28,0.0334848999999906,40.94599999999994,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675]"
28,29,0.009465800000015179,41.876999999999875,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128]"
29,30,0.00898019999999633,43.50899999999988,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274]"
30,31,0.008684499999986883,45.09899999999983,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606]"
31,32,0.008502300000003515,46.46099999999981,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624]"
32,33,0.009160799999989422,47.7239999999997,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645]"
33,34,0.03474030000000994,48.91099999999978,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634]"
34,35,0.009689199999996845,50.19999999999967,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159]"
35,36,0.010033399999997528,51.707999999999764,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159, 612]"
36,37,0.008665399999983947,52.54199999999976,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159, 612, 265]"
37,38,0.00876600000000849,53.864999999999796,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159, 612, 265, 3147]"
38,39,0.013711799999981622,55.2379999999998,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159, 612, 265, 3147, 709]"
39,40,0.03487119999999777,56.665999999999855,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363, 27, 1175, 4, 80, 6675, 128, 274, 606, 624, 1645, 634, 159, 612, 265, 3147, 709, 639]"
