,k,run time,average cover size,S
0,1,0.08584229999996751,8.481999999999964,[4840]
1,2,0.027325800000198797,12.028999999999957,"[4840, 3808]"
2,3,0.07646920000024693,16.58499999999997,"[4840, 3808, 5192]"
3,4,0.028826799999933428,19.854999999999976,"[4840, 3808, 5192, 4109]"
4,5,0.02743609999970431,23.473999999999972,"[4840, 3808, 5192, 4109, 8606]"
5,6,0.07535600000028353,25.632999999999914,"[4840, 3808, 5192, 4109, 8606, 8438]"
6,7,0.027958199999829958,30.769999999999907,"[4840, 3808, 5192, 4109, 8606, 8438, 10544]"
7,8,0.07674220000035348,34.16699999999992,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025]"
8,9,0.02711200000021563,36.54699999999996,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323]"
9,10,0.0313415000000532,39.196,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334]"
10,11,0.07243379999999888,41.459999999999916,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308]"
11,12,0.027391999999963446,45.240999999999936,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894]"
12,13,0.07903040000019246,52.436999999999834,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115]"
13,14,0.028343500000119093,55.0749999999998,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440]"
14,15,0.026580200000353216,55.84399999999975,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072]"
15,16,0.07416349999994054,58.0479999999999,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054]"
16,17,0.02586539999992965,61.879999999999924,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809]"
17,18,0.03176209999992352,66.54899999999996,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081]"
18,19,0.0737688999997772,70.89199999999991,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673]"
19,20,0.026664099999834434,72.12700000000001,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353]"
20,21,0.07352960000025632,73.619,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921]"
21,22,0.025350999999773194,80.53099999999984,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110]"
22,23,0.027023099999951228,83.87999999999981,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120]"
23,24,0.07389560000001438,88.6139999999998,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723]"
24,25,0.027199499999824184,94.34599999999982,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311]"
25,26,0.07794439999997849,97.78599999999989,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311, 4118]"
26,27,0.02673110000023371,98.92899999999977,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311, 4118, 3123]"
27,28,0.027900200000203768,100.48499999999959,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311, 4118, 3123, 30941]"
28,29,0.07190919999993639,102.6129999999998,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311, 4118, 3123, 30941, 3842]"
29,30,0.02588869999999588,105.05199999999984,"[4840, 3808, 5192, 4109, 8606, 8438, 10544, 6025, 3323, 10334, 3308, 6894, 4115, 8440, 9072, 6054, 809, 12081, 3673, 11353, 11921, 12110, 5120, 1723, 12311, 4118, 3123, 30941, 3842, 5061]"
