,S,average cover size,k,run time
0,[19615],1.7269999999999714,1,0.008145400000046266
1,"[19615, 30744]",3.6579999999999604,2,0.007529900000008638
2,"[19615, 30744, 62227]",5.466999999999941,3,0.007551799999987452
3,"[19615, 30744, 62227, 61742]",7.9399999999999595,4,0.007176899999990383
4,"[19615, 30744, 62227, 61742, 24394]",10.054999999999936,5,0.04464090000004717
5,"[19615, 30744, 62227, 61742, 24394, 50568]",11.554999999999925,6,0.006999300000018138
6,"[19615, 30744, 62227, 61742, 24394, 50568, 11403]",14.069999999999942,7,0.006912099999965449
7,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113]",16.37499999999993,8,0.006868799999949715
8,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715]",18.711999999999943,9,0.006803199999978915
9,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226]",20.843999999999923,10,0.007004399999971156
10,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370]",23.012999999999906,11,0.007442000000025928
11,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648]",26.162999999999894,12,0.007189799999991919
12,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164]",29.40699999999996,13,0.007077799999990475
13,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687]",32.09299999999998,14,0.007554100000049857
14,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669]",35.28500000000005,15,0.04096959999998262
15,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142]",37.68799999999992,16,0.00702629999994997
16,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077]",42.41499999999988,17,0.007296499999995376
17,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160]",45.38399999999991,18,0.007717000000013741
18,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973]",48.69299999999985,19,0.007444799999973384
19,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973, 21380]",51.20799999999986,20,0.008022200000027624
20,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973, 21380, 18956]",54.148999999999916,21,0.007179699999994682
21,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973, 21380, 18956, 20394]",56.076999999999884,22,0.006925000000023829
22,"[19615, 30744, 62227, 61742, 24394, 50568, 11403, 63113, 33715, 43226, 17370, 13648, 16164, 41687, 21669, 6142, 59077, 30160, 48973, 21380, 18956, 20394, 44262]",58.386999999999915,23,0.008067299999993338
