,k,run time,average cover size,S
0,1,0.010322699999989027,1.8599999999999697,[474]
1,2,0.03683190000000991,3.6369999999999605,"[474, 99]"
2,3,0.009489799999983006,5.77199999999996,"[474, 99, 100]"
3,4,0.010731199999980845,8.34899999999995,"[474, 99, 100, 705]"
4,5,0.009684399999997595,10.580999999999953,"[474, 99, 100, 705, 328]"
5,6,0.011844999999993888,13.266999999999932,"[474, 99, 100, 705, 328, 239]"
6,7,0.009441900000012993,15.845999999999965,"[474, 99, 100, 705, 328, 239, 287]"
7,8,0.0123504999999966,18.233999999999988,"[474, 99, 100, 705, 328, 239, 287, 326]"
8,9,0.03545660000000339,21.45299999999991,"[474, 99, 100, 705, 328, 239, 287, 326, 196]"
9,10,0.009574700000001712,24.701999999999913,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482]"
10,11,0.009444900000005418,27.33799999999993,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221]"
11,12,0.009901699999971925,29.175999999999963,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124]"
12,13,0.009676999999982172,33.232,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1]"
13,14,0.013797699999997803,36.26800000000003,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266]"
14,15,0.03794930000000818,38.79899999999994,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273]"
15,16,0.01277540000000954,44.13499999999983,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14]"
16,17,0.009620200000028944,46.71199999999985,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525]"
17,18,0.009237900000016452,48.30199999999985,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230]"
18,19,0.009770599999967544,51.1149999999998,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246]"
19,20,0.009403500000018994,54.6199999999999,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244]"
20,21,0.03789399999999432,57.38399999999989,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267]"
21,22,0.010005400000011377,60.23199999999995,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869]"
22,23,0.010816200000022036,64.99400000000007,"[474, 99, 100, 705, 328, 239, 287, 326, 196, 482, 221, 124, 1, 266, 2273, 14, 525, 230, 246, 2244, 267, 1869, 363]"
