,core,degree,h,influence,u
0,10,71,25,1.886,104
1,10,52,1,1.689,332
2,10,51,23,1.668,15
3,10,51,22,1.625,41
4,10,51,21,1.56,22
5,10,49,1,1.554,40
6,10,47,1,1.553,195
7,10,45,20,1.539,232
8,10,43,1,1.526,75
9,10,43,18,1.524,20
10,10,39,1,1.513,203
11,10,39,22,1.51,331
12,9,42,1,1.504,23
13,10,38,1,1.504,2
14,10,40,1,1.503,353
15,10,40,1,1.499,48
16,9,40,1,1.481,354
17,10,35,19,1.473,55
18,10,35,16,1.466,182
19,10,38,1,1.462,115
20,9,39,1,1.457,133
21,10,40,1,1.456,134
22,9,36,19,1.454,45
23,10,32,1,1.449,53
24,10,36,18,1.446,395
25,9,37,1,1.437,71
26,11,35,1,1.428,433
27,10,36,20,1.427,127
28,8,35,1,1.422,563
29,9,36,14,1.416,13
30,9,37,18,1.414,377
31,10,32,20,1.411,136
32,10,37,1,1.405,577
33,10,33,15,1.405,340
34,10,31,1,1.404,204
35,10,26,18,1.403,273
36,10,34,19,1.402,139
37,10,33,1,1.397,355
38,11,33,19,1.393,298
39,9,32,1,1.392,9
40,10,38,19,1.39,51
41,10,27,17,1.388,242
42,10,29,1,1.388,197
43,10,30,1,1.385,184
44,10,26,15,1.379,6
45,10,28,16,1.377,200
46,9,32,13,1.376,119
47,10,31,16,1.375,44
48,10,28,18,1.37,38
49,10,30,19,1.367,0
50,10,28,17,1.365,18
51,9,30,15,1.363,236
52,9,33,1,1.363,57
53,10,29,18,1.361,142
54,8,29,13,1.361,459
55,8,31,1,1.359,453
56,9,32,14,1.354,428
57,9,27,1,1.349,39
58,11,28,16,1.349,388
59,10,30,15,1.348,218
60,9,31,16,1.347,105
61,9,30,1,1.344,467
62,10,28,1,1.344,205
63,9,29,1,1.341,240
64,9,26,1,1.34,61
65,9,29,16,1.34,181
66,10,26,1,1.34,49
67,9,29,1,1.339,315
68,9,28,15,1.339,56
69,10,25,1,1.338,12
70,9,29,1,1.337,366
71,9,29,14,1.335,587
72,10,29,19,1.333,503
73,9,22,1,1.328,3
74,9,30,1,1.325,68
75,10,23,1,1.325,217
76,10,26,15,1.324,572
77,10,27,1,1.324,211
78,9,24,13,1.323,199
79,9,22,1,1.322,50
80,10,26,16,1.322,79
81,9,24,18,1.322,80
82,10,26,1,1.321,29
83,9,23,1,1.318,367
