,NI,u
0,1573.865672934264,131
1,1483.9346406420466,200
2,1270.3417528903672,639
3,992.7777899198193,326
4,968.3270449562946,287
5,744.4197738925922,608
6,714.256015476332,474
7,700.9752151186253,267
8,662.0002457904454,559
9,642.793505353377,266
10,635.7202323143313,744
11,635.5382412065245,100
12,630.0402775297404,624
13,611.2609233154501,553
14,603.4388258810949,705
15,601.3993792310229,547
16,580.2348836948165,124
17,578.2360284404414,638
18,573.438255353779,1292
19,553.1153518342998,359
20,525.5559700631231,535
21,519.0510495852062,512
22,508.40618194775726,80
23,502.5158925929867,562
24,500.15221046397,606
25,498.6940023297072,247
26,496.06973602756733,236
27,488.38922638593834,274
28,477.7947625974793,66
29,476.2166854783194,99
30,470.8443430760248,133
31,463.50415358154305,8
32,462.71994919844326,412
33,461.4180731699031,76
34,458.97607092833863,27
35,454.4864112703219,1775
36,452.17291269469274,196
37,443.6716367711474,221
38,442.890824313487,646
39,437.4506670092703,3683
40,431.9092345758685,15
41,420.68252992408486,239
42,410.6179990452299,634
43,410.1614830919164,111
44,408.72963354040263,265
45,405.75734944727566,1689
46,401.5160999768379,60
47,391.7890789560794,1162
48,380.022934900684,1738
49,378.23908757713264,1890
50,376.9730696406131,210
51,374.3148158133579,9
52,372.49081127445487,145
53,372.1814567960237,784
54,371.14777000179083,251
55,369.50615401857453,1449
56,367.9190234622073,261
57,364.4268495939412,1256
58,364.10356737095026,525
59,363.951136049384,75
60,362.073238487774,482
61,361.247305748105,310
62,361.0570528000945,134
63,356.851384341952,230
64,356.0220903483795,1060
65,355.90133494813927,417
66,353.5230816116935,156
67,349.9437077111042,41
68,345.19176611937206,382
69,343.603672911008,1059
70,343.1301230592803,4824
71,341.889926793875,1032
72,335.0489012785213,192
73,333.77106675084946,536
74,331.6809437734522,77
75,330.55152274126635,515
76,328.7734814449253,159
77,322.88362236648584,128
78,319.11204335477646,26
79,317.94305010785,1955
80,317.6160912074234,1175
81,316.6400714554992,592
82,314.57949027679325,363
83,314.06139977468933,457
84,312.7596560156614,88
85,310.7663328665373,246
86,310.6234640149768,1
87,309.3351697151041,556
88,309.0511871265406,1869
89,308.9252528172568,777
90,305.8374092615226,5651
91,303.7864959378692,227
92,303.3909192903661,1025
93,301.73422162888784,1492
94,301.3267963532672,1159
95,300.7215374495161,1692
96,299.81927701022784,426
97,298.94591373835476,1257
98,297.4295075115147,563
99,296.8304898360415,140
100,296.6391663249078,649
101,296.14168681776033,487
102,295.7923318889119,316
103,293.5829038439755,226
104,293.1770553356971,415
105,292.94412992759413,661
106,292.0028113669053,354
107,289.98289327340194,2119
108,289.28218508941376,152
109,289.181998722431,599
110,288.18751500790376,37
111,287.65055481935855,885
112,285.20188154385676,498
113,285.14849742411513,79
114,283.55285782344174,157
115,282.8367789743186,3399
116,282.06288903075193,154
117,281.07999137846565,1954
118,280.3425920895205,945
119,280.2129459410836,23
120,277.31789964146685,1044
121,275.52030821188066,12
122,275.5153355106619,797
123,275.5139693597057,944
124,274.5513320773477,805
125,270.36982455080255,14
126,269.9880537340202,5682
127,265.2821528531392,1103
128,263.9671145477457,741
129,263.43682944633554,612
130,263.1538244036839,6086
131,262.5640380635991,328
132,261.2635805030317,214
133,260.262736687056,613
134,257.7827626240591,4
135,255.61082367956107,2273
136,255.50713935740882,607
137,254.09034422566162,566
138,253.6486901049154,129
139,253.35068334312203,2927
140,251.49707711308585,122
141,250.37654705760121,1645
142,247.74418307431517,1156
143,246.35075913854263,637
144,246.2807905087975,2941
145,244.81260171905575,19
146,244.52477401832422,110
147,243.91774614149637,546
148,243.6329888043511,866
149,243.06122207791694,953
150,242.45620127637443,950
151,241.53963971350086,981
152,241.44932552279306,1394
153,239.21909124194886,2860
154,239.02501740647216,268
155,238.92817035586933,10
156,238.2278990688282,626
157,236.4840335557285,151
158,235.6634676690411,105
159,232.94770127283502,2841
160,232.79989588057802,736
161,232.11187774681855,56
162,231.7037151687608,86
163,231.60038820539722,408
164,231.4346208731975,1765
165,231.27111390097986,1597
166,229.78212021027173,142
167,227.61379125081086,6675
168,227.35686560496472,883
169,224.1935064180484,48
170,223.86452746761748,21
171,222.46961067228375,593
172,221.98919010345375,3429
173,220.4267898262128,1987
174,219.9236627373698,72
175,219.77605911277578,539
176,219.48887403725638,3147
177,219.0658259541814,7077
178,218.6141752091569,422
179,217.05690274966008,143
180,216.69746157624436,1218
181,216.59988248075217,2017
182,214.9377570567404,2409
183,214.61561414523564,1690
184,214.61446724381693,2071
185,214.48224107363464,1528
186,214.1787732880292,2250
187,213.42196837873712,2183
188,212.97574686190825,765
189,212.83610821031732,6561
190,212.4226941983749,1434
191,212.25567607420138,118
192,212.02638386302309,10084
193,211.9915068574304,329
194,210.9251164441289,514
195,210.55349483015806,1049
196,209.9771794972589,750
197,209.76482088026398,1405
198,209.65125184536797,709
199,208.97436719060448,4252
200,208.08378909811123,1827
201,207.19026804931266,1290
202,206.3342948397374,625
203,206.19357706882067,834
204,205.00547049189598,2846
205,204.2678407713828,9365
206,202.9279672273656,2244
207,202.86677361781153,1655
208,202.53471924586165,3791
209,202.35628873821074,752
210,202.17814936992914,85
211,201.9808122002616,4854
212,201.06073001657253,5370
213,200.80879281764993,5892
214,199.93761046286784,3641
215,199.4949602381968,507
216,199.4215774001979,419
217,199.31321100792417,635
218,198.96098128886587,954
219,198.94539152150728,440
220,198.90370492034535,2807
221,197.98059242587635,1980
222,197.8396271554322,1635
223,197.07481221107633,168
224,196.94148504533538,150
225,196.81605635874982,1683
226,196.70981432764754,3677
227,196.03011576221434,7438
228,195.51458899778618,396
229,195.214675460896,205
230,195.00710034665818,887
231,194.52925690179362,513
232,194.35777464271663,288
233,194.2357348125461,255
234,193.98457540542094,3462
235,193.94452021493103,1587
236,193.60893403478323,2389
237,192.49605741114942,1776
238,190.82996643067588,2731
239,190.65974553349332,336
240,190.2732919058983,1094
241,190.14248263668273,1193
242,189.05033700767962,3015
243,188.62252091154787,46
244,188.2742591322442,2075
245,185.49340295343978,636
246,184.93259115512444,4041
247,184.42452825099073,1793
248,183.9249323863021,5486
249,183.20759038478107,258
250,183.02458851203573,11140
251,182.51729382718779,3042
252,182.49922475186824,3210
253,182.41245155393176,2377
254,182.19988076057365,4804
255,181.8033160697402,2704
256,181.7336244532267,2717
257,181.5607526848114,51
258,181.3385667397806,117
259,181.19243438518913,2804
260,180.75855799294624,572
261,180.7387075056665,1731
262,180.71352930259368,4263
263,180.443550914158,74
264,177.5960419468358,586
265,177.3935715622132,44
266,176.80485358357845,793
267,176.73981318837244,4800
268,176.34304840521338,2497
269,176.19528213038137,3498
270,175.98513198306304,682
271,175.51442248430754,5105
272,175.2907568996396,622
273,175.19794581957214,4579
274,175.19794581957214,754
275,174.35688600408082,36
276,174.1205423140151,2019
277,173.67787979057562,1515
278,173.0827655873725,5572
279,172.75404800446918,193
280,172.5717888626611,6583
281,171.74170005026755,1617
282,171.45470588166538,989
283,170.66536916750263,2259
284,170.56404886457318,4280
285,170.53250651410647,6681
286,170.23419515392365,10062
287,169.69232251031465,6122
288,169.53582914940125,6018
289,168.68280186174334,545
290,168.16252304553137,6477
291,167.86575551841835,5389
292,167.70939064812038,6891
293,167.34475221094362,6113
294,166.89037889853094,2008
295,166.6380875555659,985
296,166.58032187390882,1589
297,165.60876794992905,92
298,165.29069945664656,135
299,165.14251246944946,8630
300,165.05813101736734,307
301,164.9462033512745,220
302,164.8008028566901,609
303,164.37324143545993,4582
304,164.33111618212618,4900
305,164.1138034200914,201
306,163.02700294830512,799
307,162.71886497821046,800
308,162.5987777693263,653
309,161.93330742995894,875
310,159.76999851973798,5367
311,159.6643923576799,3164
312,159.628052197562,207
313,159.48415042106186,2928
314,159.3413150685498,571
315,159.22650831705542,155
316,158.93808315782888,3247
317,158.91880644262127,742
318,158.83727050290267,209
319,158.6841275090442,460
320,158.4698852641598,610
321,158.39374987042783,1960
322,158.1973289535247,240
323,158.07562320768258,2596
324,158.06495082105076,7355
325,157.84903744408354,4920
326,157.093568263697,249
327,156.77412095113147,656
328,155.31210207329693,1943
329,155.1850965437968,349
330,154.60381285174986,6573
331,154.49836154471149,3029
332,154.27897157671936,1944
333,154.15444079762528,107
334,153.83614168674154,263
335,153.64773780815744,1759
336,153.50666522219586,2182
337,153.16423268398478,2748
338,153.16092443192255,231
339,152.90996344502034,555
340,152.77903954610144,361
341,152.50415991264734,1169
342,151.3194503934885,1031
343,150.68032733051294,3778
344,150.48973617883092,195
345,149.75170785826336,28
346,149.42642727957696,1520
347,148.94650653147428,315
348,148.65734491415833,791
349,148.1258555868013,828
350,147.80291987981835,1153
351,147.624327918492,5363
352,147.57298520821482,604
353,147.3588957547869,2247
354,147.08251287044266,6801
355,147.0731785435158,2817
356,146.70665996468261,597
357,146.41770975047604,2167
358,145.50730156776294,817
359,145.3923350123554,850
360,145.14366380858672,8991
361,145.03315267599328,3651
362,144.9091117244312,4158
363,144.8699009021856,602
364,144.71828469950054,4585
365,144.28567933502606,629
366,144.04057655967696,312
367,143.00776314882938,3492
368,142.872315290072,31
369,142.5493335656116,7951
370,142.39684344268335,5000
371,141.95633069404496,242
372,141.76130220896925,5901
373,141.7391971192161,740
374,141.23438848919673,519
375,141.10402886334535,3792
376,141.08121821637414,1547
377,140.67712901943065,2830
378,140.57368743327117,1599
379,140.56260076358362,2314
380,140.4920160293895,2506
381,140.47753841476606,7369
382,140.39165061885404,2199
383,139.94317215277812,2305
384,139.94133415644242,1392
385,138.61266625874097,1379
386,138.54463130887538,6009
387,138.17685187908268,526
388,137.61221757664683,1946
389,137.5281789307195,42
390,136.60966733769993,2086
391,136.47556731103347,1652
392,136.36033104558163,174
393,136.25016616994185,833
394,135.8830494395824,1098
395,135.7993850893152,222
396,135.7774774397573,1764
397,135.60250281748077,1728
398,135.31226401016986,136
399,134.4243831814579,190
400,134.3995353219511,627
401,134.3308913216149,2634
402,133.6328471568739,341
403,133.42370613921904,1038
404,133.356443981506,283
405,133.3423418870103,651
406,133.29539823111875,4133
407,132.66525764200063,4586
408,132.34842898108727,2491
409,132.26817980173098,116
410,132.19569735875046,1656
411,132.19569735875044,1514
412,132.0466814177332,43
413,131.97554343538937,8372
414,131.51922613050982,8399
415,131.51922613050982,1017
416,131.37890610747078,2114
417,131.24545849947074,6123
418,131.19746075585948,2011
419,131.17888670744452,401
420,130.7010964752947,1967
421,130.655024887682,1316
422,130.5053802519325,194
423,130.5010375847344,61
424,130.44684062922633,575
425,130.308896472381,423
426,129.8071126573813,941
427,129.60756518224298,7225
428,129.59708092410807,393
429,129.4025552737361,511
430,129.27397207661937,421
431,129.19715055574093,1521
432,129.08038464250814,260
433,128.8564208406375,2526
434,128.82136910933374,437
435,128.6470837915871,2094
436,128.6022157009515,234
437,128.47032731335278,245
438,128.4382227357182,303
439,128.125,409
440,127.93961763010816,346
441,127.63579131644126,89
442,127.57215911420717,1485
443,126.86898169231542,1102
444,126.04860173758375,87
445,125.69441011492269,1209
446,125.54691396600799,1784
447,125.51821628681698,5007
448,124.79238897278798,1596
449,124.5908585943641,3736
450,124.48326169697191,141
451,124.28422039736793,335
452,124.01261439019264,6072
453,123.90901248071077,8400
454,123.88675427533764,1327
455,123.87050159613854,9576
456,123.5205763532453,8507
457,123.44076127542752,1473
458,122.97750368552852,700
459,122.86956200845405,642
460,122.76035276095195,1188
461,122.55145474425166,862
462,122.53433114758867,688
463,122.4307533859644,1525
464,122.24427093837969,6089
465,122.20429676095391,5893
466,122.15178972328324,3770
467,121.99619409158528,721
468,121.99003421405517,632
469,121.97290806311678,2283
470,121.6039303005386,38
471,121.6039303005386,842
