,core,degree,h,influence,u
0,115,755,151,142.62800000000013,1912
1,115,234,1,129.45500000000024,2266
2,115,291,1,128.6670000000001,2347
3,115,201,1,127.65900000000047,2240
4,115,221,1,127.28600000000017,2142
5,115,195,1,127.22200000000016,2220
6,115,173,1,127.10500000000035,2630
7,115,224,145,127.00700000000023,1985
8,115,197,141,126.0850000000004,2590
9,115,201,144,125.12100000000018,2507
10,115,194,141,124.96500000000015,2188
11,115,191,141,124.70500000000033,1946
12,115,180,141,124.70500000000024,2326
13,115,200,1,124.65900000000019,2244
14,115,222,1,124.5280000000002,2233
15,115,205,1,124.16500000000022,2218
16,115,195,1,124.12800000000036,2073
17,115,197,141,124.09100000000022,2369
18,115,193,1,123.89700000000019,2059
19,115,198,141,123.81800000000011,2602
20,115,202,1,123.60800000000042,2464
21,115,207,141,123.6080000000003,2229
22,115,189,144,123.55200000000035,2090
23,115,210,144,123.52400000000023,2206
24,115,189,141,123.50900000000033,1938
25,115,196,141,123.23500000000021,2542
26,115,204,1,122.91100000000029,2078
27,115,192,1,122.59700000000018,1943
28,115,199,1,122.52800000000016,1983
29,115,196,1,122.50700000000009,2604
30,115,187,1,122.4890000000003,1962
31,115,203,141,122.33100000000019,2123
32,115,186,141,122.29900000000012,2625
33,115,191,141,122.24200000000027,2428
34,115,179,140,121.93800000000034,2395
35,115,187,1,121.80300000000018,2586
36,115,185,141,121.7360000000002,2593
37,115,178,1,121.58900000000031,2409
38,115,201,1,121.50000000000023,2560
39,115,195,141,121.2840000000003,2607
40,115,207,1,120.98900000000047,2410
41,115,190,141,120.81100000000015,1917
42,115,171,1,120.77300000000042,2140
43,115,198,144,120.67100000000028,2340
44,115,180,141,120.6370000000003,2271
45,115,198,1,120.34000000000027,2088
46,115,197,141,120.31200000000025,2324
47,115,203,1,120.2140000000003,1993
48,115,198,1,120.1010000000004,2131
49,115,166,1,120.05900000000034,2638
