,S,average cover size,k,run time
0,[200],35.440800000000294,1,4371.192993402481
1,"[200, 287]",53.56730000000021,2,4789.358792543411
2,"[200, 287, 100]",64.73280000000037,3,6545.603556394577
3,"[200, 287, 100, 639]",76.16600000000028,4,6640.546586751938
4,"[200, 287, 100, 639, 267]",84.24800000000025,5,10059.166404485703
5,"[200, 287, 100, 639, 267, 559]",92.07340000000002,6,11343.991453170776
6,"[200, 287, 100, 639, 267, 559, 3683]",99.55539999999986,7,12177.428495645523
7,"[200, 287, 100, 639, 267, 559, 3683, 124]",106.13890000000046,8,16195.76000714302
8,"[200, 287, 100, 639, 267, 559, 3683, 124, 8]",113.00890000000032,9,16642.007588386536
9,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359]",119.62400000000044,10,18622.822177886963
10,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88]",125.8799000000001,11,24155.195312023163
11,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775]",131.3920000000008,12,25548.65326499939
12,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535]",136.6047000000005,13,31475.157742023468
13,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162]",141.84140000000005,14,32319.952080965042
14,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66]",146.75720000000047,15,33713.138531684875
15,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274]",151.47259999999994,16,35842.26422071457
16,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682]",156.0984,17,37013.70207118988
17,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412]",160.8451000000001,18,37852.67813849449
18,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196]",165.43370000000027,19,39901.59372162819
19,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76]",169.9691,20,43443.542650938034
20,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525]",174.50239999999985,21,43865.4492995739
21,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649]",179.07670000000013,22,45066.9782204628
22,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556]",183.51970000000048,23,53753.13912987709
23,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192]",187.59459999999982,24,56090.000259160995
24,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145]",191.70340000000084,25,65717.69151306152
25,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890]",195.57269999999934,26,68774.46411728859
26,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154]",199.50290000000047,27,70382.26740908623
27,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80]",204.4461,28,71164.22599196434
28,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159]",208.22419999999957,29,71708.01081228256
29,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608]",211.29779999999988,30,119334.51512122154
30,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221]",214.79180000000042,31,123399.70455408096
31,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512]",218.33059999999992,32,128769.26558423042
32,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116]",221.30250000000004,33,131918.28257155418
33,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824]",224.27989999999943,34,133600.16339111328
34,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587]",227.38680000000105,35,133843.32607603073
35,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741]",231.02310000000068,36,135767.00752282143
36,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032]",234.28999999999945,37,136990.5054450035
37,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310]",237.06770000000014,38,147889.30204629898
38,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183]",239.71410000000049,39,157115.59133005142
39,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981]",242.601600000001,40,161240.1859884262
40,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599]",245.29880000000017,41,162503.22342443466
41,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244]",248.1531999999998,42,164508.9023964405
42,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247]",251.01130000000057,43,165062.48168873787
43,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690]",253.59150000000113,44,167326.96818375587
44,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692]",256.4909000000004,45,167523.0785946846
45,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692, 26]",259.3426000000002,46,168118.31642699242
46,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692, 26, 9994]",262.34730000000116,47,169131.68653345108
47,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692, 26, 9994, 1987]",265.0417000000015,48,172245.55851006508
48,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692, 26, 9994, 1987, 656]",267.6333000000006,49,177499.34352087975
49,"[200, 287, 100, 639, 267, 559, 3683, 124, 8, 359, 88, 1775, 535, 1162, 66, 274, 5682, 412, 196, 76, 525, 649, 556, 192, 145, 1890, 154, 80, 1159, 608, 221, 512, 116, 4824, 1587, 741, 1032, 310, 2183, 981, 599, 2244, 247, 1690, 1692, 26, 9994, 1987, 656, 989]",270.2445999999998,50,187199.65598535538
