,k,run time,average cover size,S
0,1,4742.47389793396,8.053999999999949,[200]
1,2,4743.960925102234,17.969999999999914,"[200, 287]"
2,3,4747.924332141876,23.832999999999906,"[200, 287, 639]"
3,4,4753.647037029266,28.805999999999912,"[200, 287, 639, 267]"
4,5,4784.263206958771,33.00599999999983,"[200, 287, 639, 267, 100]"
5,6,4804.261789798737,37.63799999999986,"[200, 287, 639, 267, 100, 559]"
6,7,4851.369571447372,41.2129999999999,"[200, 287, 639, 267, 100, 559, 99]"
7,8,4872.0881960392,44.33999999999993,"[200, 287, 639, 267, 100, 559, 99, 265]"
8,9,4905.929434537888,47.43799999999997,"[200, 287, 639, 267, 100, 559, 99, 265, 124]"
9,10,4918.245509624481,51.02699999999994,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15]"
10,11,4931.927948713303,54.72899999999978,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775]"
11,12,4939.305225849152,57.89399999999985,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535]"
12,13,4962.565052986145,61.04899999999985,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608]"
13,14,4995.519974470139,64.91499999999988,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683]"
14,15,5204.330735445023,67.67999999999992,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553]"
15,16,5279.558987617493,70.6609999999999,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76]"
16,17,5362.448448419571,73.58499999999998,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66]"
17,18,5440.0061864852905,76.42999999999998,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256]"
18,19,5508.5320081710815,79.08500000000008,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525]"
19,20,5578.400303840637,81.96400000000008,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394]"
20,21,5625.686914682388,84.537,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162]"
21,22,5637.834448337555,87.26899999999995,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869]"
22,23,5676.842178344727,89.84999999999994,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218]"
23,24,5769.657095909119,92.56199999999994,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196]"
24,25,5783.413338661194,95.18799999999966,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196, 646]"
25,26,5840.58852148056,97.7059999999996,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196, 646, 75]"
26,27,5973.105365514755,100.14699999999954,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196, 646, 75, 230]"
27,28,6003.250766992569,102.69399999999929,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196, 646, 75, 230, 227]"
28,29,6033.953734874725,105.34199999999922,"[200, 287, 639, 267, 100, 559, 99, 265, 124, 15, 1775, 535, 608, 3683, 553, 76, 66, 1256, 525, 1394, 1162, 1869, 1218, 196, 646, 75, 230, 227, 3399]"
