,k,run time,average cover size,S
0,1,206.56849241256714,8.31999999999996,[200]
1,2,208.18517208099365,13.903999999999938,"[200, 287]"
2,3,215.17647981643677,18.813999999999947,"[200, 287, 639]"
3,4,222.098002910614,22.4229999999999,"[200, 287, 639, 267]"
4,5,225.74123644828796,26.06999999999994,"[200, 287, 639, 267, 100]"
5,6,243.72817134857178,29.677999999999965,"[200, 287, 639, 267, 100, 608]"
6,7,258.17755460739136,32.784,"[200, 287, 639, 267, 100, 608, 1292]"
7,8,281.09126329421997,35.943000000000005,"[200, 287, 639, 267, 100, 608, 1292, 562]"
8,9,375.40615606307983,38.61399999999991,"[200, 287, 639, 267, 100, 608, 1292, 562, 646]"
9,10,397.4911093711853,41.146999999999906,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265]"
10,11,420.35695219039917,43.67799999999985,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025]"
11,12,475.38885831832886,46.21899999999983,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80]"
12,13,477.3964629173279,48.81099999999983,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535]"
13,14,485.77209997177124,51.27999999999976,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252]"
14,15,541.2578017711639,53.648999999999916,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9]"
15,16,574.8659546375275,56.14399999999992,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247]"
16,17,589.9845373630524,58.49099999999991,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606]"
17,18,603.0306310653687,60.82900000000003,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606, 513]"
18,19,655.8803448677063,63.129,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606, 513, 236]"
19,20,675.8908767700195,65.6030000000002,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606, 513, 236, 1692]"
20,21,702.4291150569916,68.30500000000002,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606, 513, 236, 1692, 559]"
21,22,771.873441696167,70.64800000000005,"[200, 287, 639, 267, 100, 608, 1292, 562, 646, 265, 1025, 80, 535, 4252, 9, 247, 606, 513, 236, 1692, 559, 60]"
