,k,run time,average cover size,S
0,1,3.1442421000000005,1.5479999999999698,[39085]
1,2,19.2016266,2.9949999999999597,"[40517, 14726]"
2,3,35.9576561,3.6900000000000026,"[61742, 22126, 53625]"
3,4,24.235497200000005,4.35799999999995,"[36805, 10659, 63182, 22990]"
4,5,70.8388786,5.89899999999995,"[6142, 41413, 68417, 66349, 31197]"
5,6,71.6773752,6.596000000000002,"[38500, 27133, 58035, 60440, 31251, 55740]"
6,7,89.31391219999998,7.736999999999933,"[3088, 23688, 9218, 53159, 67276, 23954, 6302]"
7,8,107.77025799999996,9.249999999999963,"[62015, 13052, 45031, 2424, 32179, 26952, 56641, 48973]"
8,9,192.89513820000002,10.442999999999957,"[23701, 11180, 35863, 60421, 37780, 59124, 14653, 60632, 45230]"
9,10,186.77402210000002,11.135999999999862,"[16570, 61129, 24418, 6210, 22559, 43744, 7336, 12067, 11047, 58427]"
10,11,226.25562519999994,12.321999999999914,"[64720, 35280, 9395, 30359, 37292, 23054, 140, 14176, 32911, 39336, 38038]"
11,12,286.3594757999999,13.508999999999949,"[12459, 41378, 823, 17370, 22006, 25328, 49219, 32800, 23807, 67031, 12981, 55819]"
12,13,264.30471880000005,14.184999999999912,"[19469, 34735, 11040, 20810, 52772, 39340, 39320, 38851, 1197, 36148, 17817, 64703, 52274]"
13,14,221.891576,15.040999999999944,"[46850, 5482, 50627, 19921, 32249, 42951, 62261, 49929, 56127, 5975, 12715, 60043, 59600, 30504]"
14,15,388.53105729999993,16.721000000000025,"[20039, 68385, 12335, 40803, 43561, 12175, 45525, 10081, 30744, 31376, 22234, 52843, 41485, 28410, 49511]"
15,16,475.8029061999996,17.68199999999991,"[21380, 39773, 39942, 50575, 23918, 67323, 24394, 40012, 61425, 59357, 47597, 40947, 40948, 44804, 30836, 9521]"
16,17,475.8580895,19.162999999999975,"[39984, 46139, 16535, 63216, 35037, 57066, 45569, 68368, 41932, 10280, 33866, 43037, 51824, 26913, 22343, 51333, 40894]"
17,18,498.91121969999995,19.739999999999956,"[31583, 26596, 28737, 39044, 6562, 31268, 15089, 49541, 20820, 33048, 39584, 46865, 50073, 54118, 8081, 41696, 20045, 26363]"
18,19,699.6021787000004,21.343999999999888,"[38465, 47566, 41973, 13648, 4070, 65368, 53515, 15696, 20519, 41588, 32271, 38163, 37343, 28001, 5392, 52506, 56728, 65319, 31023]"
19,20,598.5764607000001,22.082999999999902,"[11180, 60374, 40444, 62335, 18550, 20552, 14783, 7237, 50674, 28950, 65818, 63707, 66612, 48252, 58348, 30500, 29929, 25325, 5187, 12657]"
20,21,807.4435798000004,23.341999999999857,"[26234, 60926, 3624, 42445, 11199, 20994, 28850, 1511, 66300, 34034, 23040, 49554, 7741, 6517, 2270, 18882, 68502, 44516, 65123, 2689, 59882]"
21,22,1095.9137662000003,25.330999999999875,"[26596, 63786, 18533, 56623, 49332, 33454, 68474, 68207, 9523, 63113, 33204, 42687, 30798, 52622, 46404, 3581, 4436, 6397, 19159, 43095, 64107, 66998]"
22,23,1022.3605072999999,25.535999999999863,"[64063, 35725, 23526, 24394, 57499, 5338, 28292, 39031, 8495, 65486, 39723, 5583, 50627, 66884, 36685, 62076, 39803, 48677, 30205, 8733, 41767, 42019, 4406]"
23,24,1053.3270896000013,26.691999999999858,"[15604, 2177, 32205, 36860, 59375, 38987, 50231, 10574, 32803, 40053, 24295, 5423, 52993, 36112, 21093, 5477, 34071, 43290, 7491, 3975, 12402, 4896, 5975, 4700]"
24,25,929.4701394999993,27.159999999999847,"[39659, 14657, 51763, 16164, 4483, 23526, 48089, 34931, 21171, 30161, 67037, 48800, 57398, 63516, 50996, 21075, 10597, 26702, 47344, 35642, 50679, 23072, 43994, 29950, 16584]"
25,26,1397.1538215,29.433999999999923,"[54218, 10641, 15874, 56704, 26712, 3572, 47357, 48637, 55079, 31761, 37152, 1441, 68477, 50231, 2704, 22589, 13234, 39162, 40101, 57145, 3373, 13735, 61615, 58901, 57092, 43345]"
26,27,1318.6793230000003,29.982999999999972,"[19031, 26574, 52622, 15267, 24711, 44467, 11040, 32368, 34179, 34142, 57444, 4763, 67569, 11106, 32135, 37191, 4700, 11619, 55962, 59361, 11286, 24702, 45656, 27100, 25149, 13664, 53316]"
27,28,1238.7285417000003,30.62399999999995,"[35424, 49069, 39165, 2111, 4336, 6835, 10737, 49726, 60481, 29976, 43482, 28991, 23203, 51411, 3922, 56801, 16320, 20041, 57794, 24883, 53132, 63274, 16921, 24395, 60982, 64815, 39925, 43907]"
28,29,1186.1725487999993,31.26400000000003,"[67311, 67080, 37893, 37799, 38374, 15238, 17667, 54118, 2454, 38354, 59939, 31909, 43136, 18441, 1511, 22916, 7768, 1594, 24409, 36322, 51791, 6608, 52429, 52747, 29769, 48125, 41486, 23666, 65213]"
29,30,1976.246417299999,34.37000000000002,"[14017, 40419, 10553, 62227, 34242, 34869, 50109, 56424, 27876, 52662, 64827, 68368, 22552, 58689, 23821, 21157, 20921, 57145, 60282, 53283, 43913, 230, 30160, 51406, 9010, 64959, 58588, 21934, 37835, 8867]"
30,31,1455.711191899998,34.154999999999994,"[23448, 27, 67406, 10064, 60926, 14035, 31914, 7408, 30783, 16266, 38253, 8978, 51362, 67524, 3905, 15343, 32368, 60411, 57553, 61612, 48809, 9983, 49993, 15312, 40112, 52013, 22057, 61879, 43543, 51827, 63938]"
31,32,1637.9976990999967,35.18799999999999,"[41172, 67415, 46344, 10858, 13214, 6738, 15032, 12418, 19107, 5497, 50029, 24959, 8404, 53440, 18109, 52958, 2416, 56559, 51070, 25044, 4700, 53788, 59553, 66292, 61635, 14225, 59730, 41188, 49300, 15408, 40898, 7422]"
32,33,1893.3636135999986,36.64499999999997,"[1653, 26140, 19615, 43562, 2470, 39434, 63697, 9398, 5349, 67820, 6466, 47200, 5546, 44594, 45863, 57332, 23013, 65833, 34672, 62731, 44572, 6647, 29762, 53974, 26913, 39322, 8660, 35154, 64577, 7127, 67869, 41826, 64063]"
33,34,1973.019626899997,37.28199999999998,"[28950, 57273, 39469, 30068, 61830, 22107, 18459, 35040, 60933, 32728, 976, 50002, 15618, 21165, 6773, 5702, 42731, 46404, 18063, 5581, 28440, 769, 29129, 28650, 53137, 9081, 5566, 39300, 25465, 61247, 37871, 41388, 53304, 3992]"
34,35,2101.122414199999,38.63299999999999,"[21669, 22932, 60810, 20176, 24394, 62660, 25496, 45692, 64787, 66890, 20946, 30371, 63279, 40691, 3423, 31911, 554, 54128, 4521, 41932, 22441, 8864, 16029, 55079, 32112, 63712, 49971, 10524, 39776, 18844, 22343, 55970, 63511, 65930, 23422]"
35,36,2278.652490800003,39.51299999999991,"[36860, 4436, 39773, 14476, 65570, 1631, 720, 66848, 793, 4476, 26661, 7257, 53676, 1048, 66017, 52919, 42496, 15018, 54556, 5925, 6614, 3890, 67617, 4404, 53441, 38334, 61421, 16816, 57365, 52747, 66253, 26735, 39549, 65825, 10733, 61182]"
36,37,2403.7330293999985,41.22599999999989,"[30744, 4284, 45750, 46909, 10598, 8586, 654, 19177, 66446, 28880, 23550, 14347, 57949, 11059, 16819, 49340, 20599, 30160, 63970, 63272, 60171, 32271, 25249, 29000, 30896, 47880, 22408, 52701, 63156, 17175, 18956, 42068, 11196, 54252, 13527, 515, 23477]"
37,38,2619.461786400003,41.999999999999936,"[11403, 44275, 2600, 12984, 67925, 36578, 54310, 64826, 6515, 67323, 9208, 197, 53481, 15100, 39115, 42995, 65599, 58702, 50052, 20055, 6700, 17596, 62779, 41465, 16044, 63721, 23145, 1779, 13664, 8352, 55835, 67998, 23345, 58189, 53844, 42735, 39648, 24883]"
38,39,2714.9016496999975,43.17099999999994,"[57273, 42162, 67706, 52565, 7379, 13840, 51825, 33426, 18348, 4127, 28970, 41343, 62762, 16860, 54556, 55819, 43346, 61147, 1441, 12698, 30068, 65788, 67872, 15037, 19365, 54576, 54665, 4014, 12799, 10806, 5426, 9985, 38818, 40366, 64640, 39369, 52677, 2799, 66496]"
39,40,2130.1289340000003,42.97799999999991,"[21380, 55867, 5554, 20946, 45863, 12357, 38818, 1653, 37380, 60086, 32905, 3504, 3470, 4223, 41901, 9998, 18675, 20799, 43744, 43002, 49678, 16757, 34199, 17894, 16029, 60094, 2934, 28209, 59911, 11749, 8199, 28356, 31328, 63322, 35863, 2945, 48583, 2076, 66621, 65325]"
40,41,3199.5223941000004,45.8079999999998,"[61942, 8495, 49842, 6476, 24394, 40517, 5888, 24325, 4877, 42162, 65847, 63586, 4723, 32582, 64426, 46338, 64612, 34141, 17164, 39021, 16982, 47677, 1444, 36902, 36612, 51235, 6394, 52149, 49600, 2410, 41424, 1481, 59949, 3625, 48098, 51690, 51464, 1195, 56384, 27266, 57052]"
41,42,2858.2762116999947,45.911999999999836,"[18109, 45574, 61391, 30808, 49173, 34596, 55158, 54556, 60720, 38949, 67713, 28998, 17683, 41687, 18977, 67125, 43551, 45570, 12654, 13745, 38924, 65426, 46065, 52771, 25902, 17961, 53801, 42274, 65168, 59809, 39648, 21834, 5338, 35140, 7491, 17557, 4984, 35247, 54919, 48677, 17034, 19388]"
42,43,2818.9592841999984,46.989999999999746,"[35725, 10732, 67263, 68656, 4014, 41541, 59882, 38011, 49432, 31840, 40894, 12235, 18191, 22692, 50052, 35794, 54097, 58257, 16730, 58348, 11988, 20434, 28753, 27587, 27246, 27677, 482, 40012, 60010, 15826, 33726, 28451, 5277, 51693, 35376, 64859, 57281, 48773, 65627, 61425, 51720, 16350, 42804]"
43,44,3068.212058500001,48.048999999999786,"[10717, 50002, 59081, 24959, 51204, 27064, 38334, 15826, 16448, 29291, 29220, 13158, 23549, 31486, 22065, 48388, 61148, 40360, 11203, 45736, 10442, 28440, 68128, 888, 38210, 25669, 48300, 8079, 40894, 26467, 55639, 67269, 40430, 7396, 66513, 21790, 3737, 880, 28253, 68502, 64594, 6161, 53874, 27226]"
44,45,3273.705189799999,49.26999999999968,"[7322, 14831, 8660, 29761, 2372, 41388, 48851, 5399, 4983, 56999, 17481, 9285, 32863, 21141, 51438, 24333, 61742, 11267, 43099, 21549, 3363, 45325, 35096, 51327, 53736, 64191, 32309, 29181, 477, 39437, 16796, 40369, 50288, 21157, 38730, 6948, 22342, 56177, 8698, 9617, 50645, 442, 23458, 16467, 46572]"
45,46,3716.2728671000004,50.6339999999997,"[36010, 68711, 53777, 17235, 33097, 2416, 34236, 55558, 64616, 23633, 1026, 42952, 41221, 1846, 12689, 5808, 20394, 1594, 33091, 50487, 46186, 34131, 58733, 36192, 31079, 62508, 4885, 16029, 67619, 23465, 58006, 58932, 15389, 6210, 49908, 302, 50390, 10317, 8077, 5477, 3826, 38926, 54099, 35703, 32466, 11507]"
46,47,3930.103546700004,52.367999999999796,"[32800, 56010, 24697, 14297, 66820, 49098, 55962, 52050, 25389, 61950, 5277, 18548, 58712, 10597, 60926, 66017, 11078, 25289, 56623, 11925, 55802, 57281, 35021, 31076, 1338, 64835, 63699, 37360, 23018, 416, 38438, 63516, 6543, 51848, 48993, 30448, 68009, 68267, 12378, 13648, 21561, 25931, 46464, 666, 51090, 45569, 31462]"
47,48,4047.751733199999,52.402999999999764,"[48570, 53801, 61129, 9994, 7859, 61392, 61830, 30744, 38767, 64931, 25239, 1049, 25098, 47886, 57084, 35703, 57066, 6671, 67905, 30363, 4447, 823, 53746, 54268, 3827, 53684, 44599, 41823, 47458, 67157, 47401, 54717, 65490, 25919, 56982, 68205, 15021, 61453, 22306, 40010, 18339, 39469, 7454, 11087, 3094, 42230, 32171, 49219]"
48,49,4909.325550199996,55.015999999999686,"[40528, 64011, 16278, 14823, 35606, 52901, 50417, 55787, 60481, 19512, 34194, 24059, 51123, 52719, 23119, 5999, 60681, 61985, 42581, 29117, 17436, 40663, 8188, 49671, 62650, 57830, 39382, 56667, 33137, 50935, 48343, 32295, 3200, 53159, 65788, 43686, 56393, 17886, 24558, 27587, 31004, 37500, 46932, 6455, 19782, 64172, 33856, 48759, 48993]"
49,50,3842.7719067000144,55.1059999999998,"[40578, 45521, 22285, 10225, 61742, 62682, 55740, 10631, 3348, 68323, 46932, 58529, 50884, 66183, 11216, 6638, 40634, 61832, 25902, 38205, 51220, 56709, 16958, 2600, 60043, 23345, 58633, 8502, 47934, 13453, 60885, 60759, 24478, 21248, 19615, 18266, 35698, 15389, 58776, 52492, 18699, 25345, 52820, 41477, 12081, 39336, 19684, 15265, 12841, 34735]"
