,k,run time,average cover size,S
0,1,6.7550329,8.148,[200]
1,2,13.9788573,13.442,"[200, 639]"
2,3,21.5432568,18.922,"[200, 639, 287]"
3,4,29.2778528,22.148,"[200, 639, 287, 608]"
4,5,36.9229747,24.602,"[200, 639, 287, 608, 265]"
5,6,44.533303,28.28,"[200, 639, 287, 608, 265, 100]"
6,7,52.4140071,32.419,"[200, 639, 287, 608, 265, 100, 267]"
7,8,60.2987001,34.717,"[200, 639, 287, 608, 265, 100, 267, 274]"
8,9,68.3295161,37.774,"[200, 639, 287, 608, 265, 100, 267, 274, 559]"
9,10,76.3906679,40.628,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777]"
10,11,84.6079429,43.222,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99]"
11,12,92.9631358,45.555,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75]"
12,13,101.3860963,48.67,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562]"
13,14,110.0030336,49.878,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627]"
14,15,118.7222726,52.46,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66]"
15,16,127.6967926,55.122,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15]"
16,17,136.7529883,57.461,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592]"
17,18,145.9177169,59.648,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266]"
18,19,155.0878591,61.842,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612]"
19,20,164.5122435,64.67,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606]"
20,21,174.051102,66.634,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128]"
21,22,183.7036345,68.649,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124]"
22,23,193.6328279,71.028,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230]"
23,24,203.5724127,73.359,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634]"
24,25,213.6585705,75.496,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196]"
25,26,223.9483194,77.787,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41]"
26,27,234.4069617,80.236,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535]"
27,28,245.0645946,82.833,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292]"
28,29,256.0351864,84.821,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784]"
29,30,266.9865639,87.597,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192]"
30,31,278.3418375,89.522,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328]"
31,32,290.5648918,92.012,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27]"
32,33,302.7995259,93.521,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162]"
33,34,315.8265294,95.035,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247]"
34,35,329.0730819,97.956,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152]"
35,36,342.0350979,99.999,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449]"
36,37,355.1542134,101.777,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449, 359]"
37,38,368.3542546,104.069,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449, 359, 239]"
38,39,382.669594,106.618,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449, 359, 239, 236]"
39,40,397.0606251,108.847,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449, 359, 239, 236, 553]"
40,41,410.7930687,110.596,"[200, 639, 287, 608, 265, 100, 267, 274, 559, 777, 99, 75, 562, 627, 66, 15, 592, 266, 612, 606, 128, 124, 230, 634, 196, 41, 535, 1292, 784, 192, 328, 27, 1162, 247, 152, 1449, 359, 239, 236, 553, 226]"
