,k,run time,average cover size,S
0,1,32.3991386,30.454000000000054,[22765]
1,2,67.8901026,55.347999999999985,"[22765, 25577]"
2,3,103.1128364,72.58299999999996,"[22765, 25577, 13545]"
3,4,139.8370507,85.51299999999995,"[22765, 25577, 13545, 12650]"
4,5,178.18439719999998,96.80099999999999,"[22765, 25577, 13545, 12650, 17535]"
5,6,217.2689178,104.38899999999985,"[22765, 25577, 13545, 12650, 17535, 22777]"
6,7,258.1597078,114.86999999999978,"[22765, 25577, 13545, 12650, 17535, 22777, 3333]"
7,8,300.6128982,121.1339999999999,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034]"
8,9,344.0035694,130.7429999999999,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551]"
9,10,388.8858265,137.16900000000015,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866]"
10,11,434.2589356,141.05000000000024,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533]"
11,12,480.27990969999996,146.39000000000016,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361]"
12,13,526.4425257,149.54299999999992,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115]"
13,14,573.882757,156.54500000000021,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057]"
14,15,623.1672463,163.74700000000004,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758]"
15,16,674.3571926,170.88299999999992,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567]"
16,17,726.6930887,177.24399999999991,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111]"
17,18,779.4501145,178.09199999999979,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111, 22764]"
18,19,835.6049738,185.40800000000007,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111, 22764, 17529]"
19,20,890.33335,186.96600000000004,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111, 22764, 17529, 13543]"
20,21,945.2844259,192.81699999999995,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111, 22764, 17529, 13543, 25580]"
21,22,1003.2685729,197.572,"[22765, 25577, 13545, 12650, 17535, 22777, 3333, 2034, 5551, 14866, 26533, 15361, 4115, 10057, 15758, 5567, 10111, 22764, 17529, 13543, 25580, 10509]"
