,k,run time,average cover size,S
0,1,11.3642573,1.7139999999999693,[196]
1,2,22.736043,3.9049999999999647,"[100, 80]"
2,3,36.34017500000001,5.827999999999954,"[239, 624, 100]"
3,4,45.528344000000004,10.764999999999958,"[100, 482, 11412, 474]"
4,5,56.2846311,8.654999999999959,"[80, 99, 4824, 624, 326]"
5,6,69.31881150000001,13.971999999999897,"[705, 100, 266, 11408, 606, 274]"
6,7,81.99599840000002,17.23599999999995,"[14, 8899, 1, 287, 328, 624, 1175]"
7,8,99.86339459999999,28.48199999999999,"[705, 196, 9994, 482, 156, 487, 474, 11412]"
8,9,110.85139369999996,40.09599999999988,"[196, 266, 100, 1692, 11413, 328, 9994, 474, 11431]"
9,10,117.84559160000003,44.0779999999998,"[99, 100, 9994, 88, 14, 11412, 8899, 287, 474, 124]"
10,11,126.34751629999994,25.775999999999872,"[129, 634, 535, 639, 474, 196, 11424, 705, 100, 525, 482]"
11,12,138.97146309999994,42.12199999999997,"[474, 705, 11431, 482, 196, 265, 9994, 27, 100, 606, 266, 131]"
12,13,151.0725801000001,50.148999999999795,"[287, 221, 100, 635, 705, 11428, 474, 11419, 11409, 624, 128, 606, 328]"
13,14,161.8171367,56.845999999999925,"[14, 11412, 239, 15, 9994, 4252, 99, 246, 474, 80, 1162, 27, 705, 11429]"
14,15,174.91090809999992,46.176999999999886,"[639, 705, 239, 196, 474, 482, 10813, 27, 99, 100, 88, 592, 709, 66, 80]"
15,16,188.35770789999992,57.604000000000056,"[100, 287, 1175, 4912, 27, 14, 326, 482, 11414, 131, 266, 196, 288, 88, 11411, 474]"
16,17,199.88195510000014,68.77300000000011,"[1954, 9994, 26, 100, 474, 359, 27, 8899, 99, 88, 80, 1869, 9283, 11413, 15, 221, 14]"
17,18,211.73668870000006,63.67299999999989,"[14, 705, 124, 196, 11413, 474, 9994, 100, 266, 80, 15, 11410, 11411, 246, 11423, 1292, 777, 267]"
18,19,218.69165999999996,64.60699999999999,"[474, 11405, 9994, 11415, 11422, 100, 11408, 287, 99, 3147, 11419, 239, 124, 705, 251, 363, 624, 639, 606]"
19,20,234.33356120000008,72.29599999999996,"[639, 3147, 100, 124, 88, 265, 363, 1, 9271, 1162, 11404, 11419, 11409, 482, 80, 635, 27, 9994, 159, 6561]"
20,21,262.6337149000001,63.99399999999995,"[287, 382, 128, 239, 328, 27, 326, 80, 88, 661, 474, 266, 14, 274, 482, 11431, 100, 267, 131, 124, 599]"
21,22,254.4315163000001,81.53399999999976,"[1, 11425, 474, 626, 482, 709, 196, 559, 705, 592, 10812, 100, 9261, 221, 287, 88, 266, 9994, 2273, 11404, 332, 131]"
22,23,263.0043922,80.21099999999986,"[131, 210, 9994, 482, 1645, 474, 11412, 221, 1405, 100, 239, 27, 11424, 287, 11415, 14, 124, 10812, 1954, 41, 639, 99, 274]"
23,24,272.16773319999993,83.31099999999991,"[634, 100, 9994, 124, 1954, 11431, 131, 363, 14, 239, 111, 9263, 11424, 267, 246, 474, 482, 196, 11408, 553, 8899, 624, 705, 11404]"
24,25,284.5012569999999,79.65199999999982,"[100, 9994, 1645, 1256, 11408, 124, 639, 66, 474, 1869, 80, 326, 11419, 525, 608, 287, 27, 11416, 11415, 11421, 14, 239, 11427, 705, 709]"
25,26,292.82403899999963,96.1189999999998,"[100, 239, 14, 196, 266, 88, 287, 99, 11421, 221, 474, 3210, 634, 80, 457, 1162, 246, 608, 1954, 553, 27, 606, 11404, 624, 11417, 1]"
26,27,302.2844315000002,98.5229999999997,"[328, 950, 9994, 88, 221, 266, 196, 525, 11413, 474, 100, 239, 274, 606, 287, 705, 15, 11428, 646, 1256, 363, 131, 267, 11414, 1, 124, 205]"
27,28,313.33756110000013,89.97799999999975,"[11423, 11418, 474, 639, 196, 328, 1256, 100, 482, 363, 610, 11412, 239, 11407, 192, 359, 599, 8899, 1765, 14, 705, 11417, 9994, 131, 6561, 1162, 1, 553]"
28,29,325.5875649999998,102.54299999999951,"[474, 482, 639, 251, 9994, 8899, 196, 11426, 287, 27, 359, 80, 100, 88, 11414, 11417, 26, 14, 705, 9263, 634, 239, 382, 1175, 133, 11405, 159, 266, 1587]"
29,30,334.3825882000001,110.0399999999996,"[100, 525, 382, 15, 27, 266, 482, 14, 168, 1175, 9994, 86, 131, 363, 11418, 474, 553, 239, 11426, 11420, 1869, 4, 99, 287, 624, 80, 1162, 606, 19, 328]"
30,31,345.13791630000014,108.11799999999967,"[100, 474, 14, 11407, 326, 705, 592, 9994, 27, 168, 287, 624, 99, 80, 159, 192, 11413, 11429, 363, 646, 239, 15, 66, 221, 599, 635, 563, 196, 266, 11420, 88]"
31,32,360.6909765999999,113.24599999999977,"[100, 88, 474, 196, 266, 705, 606, 316, 14, 27, 99, 525, 9994, 287, 8899, 328, 128, 634, 267, 639, 11407, 1162, 26, 131, 950, 274, 15, 363, 124, 382, 11424, 1]"
32,33,370.06865259999995,103.69599999999974,"[100, 287, 1765, 14, 474, 553, 266, 221, 239, 705, 1, 196, 157, 326, 11417, 624, 482, 246, 168, 646, 363, 562, 1060, 80, 27, 9994, 382, 131, 412, 457, 13263, 267, 2807]"
33,34,379.39941650000037,102.72899999999969,"[287, 100, 221, 88, 705, 27, 9994, 131, 474, 563, 328, 11404, 265, 363, 11417, 11429, 11420, 11425, 559, 266, 239, 80, 14, 11415, 11431, 606, 196, 332, 236, 624, 608, 159, 639, 11421]"
34,35,391.6461239999999,105.24699999999957,"[14, 287, 239, 11413, 363, 482, 27, 100, 11414, 11416, 131, 266, 196, 11429, 128, 221, 99, 11412, 11428, 474, 11418, 359, 246, 80, 9994, 1292, 639, 168, 634, 705, 326, 328, 124, 11405, 11427]"
35,36,404.0806625999994,118.75800000000001,"[474, 482, 14, 287, 88, 100, 639, 196, 210, 11426, 80, 606, 239, 27, 124, 267, 705, 11404, 111, 363, 11418, 266, 634, 7855, 559, 159, 646, 6086, 9994, 157, 709, 11415, 457, 592, 326, 134]"
36,37,418.0194327999998,115.62299999999969,"[287, 100, 1, 474, 27, 200, 99, 14, 11430, 639, 9994, 239, 9281, 11420, 705, 80, 11409, 525, 606, 553, 266, 131, 11428, 192, 11412, 5370, 512, 1731, 11407, 624, 482, 11405, 221, 15, 88, 563, 196]"
37,38,429.92923900000096,132.8610000000001,"[599, 11422, 239, 5370, 266, 14, 196, 474, 221, 9994, 100, 482, 310, 66, 363, 11409, 134, 267, 251, 99, 124, 27, 634, 457, 9280, 11414, 246, 1869, 705, 639, 635, 2250, 566, 287, 1645, 382, 11431, 9267]"
38,39,438.0675322999996,123.8280000000001,"[14, 266, 27, 1, 639, 11416, 196, 11415, 328, 100, 267, 1869, 11422, 80, 3683, 66, 606, 11428, 474, 4, 6086, 159, 221, 563, 624, 15, 287, 705, 9994, 326, 363, 88, 482, 1175, 239, 168, 4041, 11413, 11424]"
39,40,452.30954910000037,127.19099999999999,"[1162, 705, 14, 593, 1032, 15, 11412, 9994, 11422, 639, 239, 128, 606, 1869, 221, 124, 10812, 88, 474, 288, 287, 363, 8899, 525, 326, 266, 709, 26, 159, 11417, 11404, 80, 11421, 359, 612, 6561, 482, 100, 634, 10813]"
40,41,461.97714910000104,126.10700000000007,"[474, 415, 266, 14, 196, 634, 482, 624, 100, 11418, 606, 705, 562, 599, 287, 639, 124, 326, 88, 9994, 1, 12, 27, 359, 99, 1689, 613, 11420, 26, 128, 11429, 210, 1256, 267, 363, 11404, 457, 11426, 11425, 8899, 512]"
41,42,473.24449129999994,143.9260000000001,"[482, 9994, 196, 266, 624, 2804, 474, 251, 11425, 124, 88, 230, 100, 80, 1, 1869, 457, 634, 705, 363, 131, 287, 99, 246, 2273, 639, 326, 27, 1256, 11427, 328, 239, 5370, 553, 606, 14, 26, 8899, 221, 1528, 382, 36]"
42,43,481.2184294000017,124.14300000000001,"[100, 128, 153, 14, 27, 266, 639, 606, 624, 11420, 705, 287, 66, 1689, 363, 474, 196, 11429, 99, 634, 525, 267, 43, 482, 230, 9994, 10812, 1, 13264, 11421, 221, 274, 88, 124, 134, 192, 11431, 11406, 1162, 11424, 15, 1060, 11430]"
