,core,degree,h,influence,u
0,119,341,1,8.354,131
1,119,324,1,8.315,200
2,87,226,1,7.418,326
3,49,156,33,5.969,474
4,47,225,36,5.709,287
5,82,288,1,5.208,639
6,35,155,1,4.809,266
7,47,146,18,4.77,547
8,34,166,28,4.692,267
9,45,89,1,4.619,134
10,36,147,27,4.583,553
11,82,158,1,4.427,744
12,34,136,32,4.381,705
13,34,149,1,4.276,624
14,34,110,1,4.216,133
15,42,170,1,4.155,608
16,56,153,18,4.029,638
17,26,162,38,4.012,100
18,36,89,1,3.885,261
19,38,58,1,3.774,46
20,47,84,16,3.654,5651
21,29,116,32,3.554,99
22,34,140,24,3.446,359
23,42,106,1,3.434,1738
24,38,48,1,3.425,201
25,29,127,1,3.326,80
26,35,97,1,3.319,1059
27,36,70,1,3.316,546
28,34,105,1,3.242,265
29,36,77,1,3.225,661
30,29,153,1,3.219,559
31,29,82,22,3.21,415
32,29,89,1,3.174,1175
33,35,125,22,3.17,512
34,34,78,21,3.123,2119
35,29,102,1,3.093,9
36,31,146,1,3.069,1292
37,32,76,17,3.058,626
38,35,65,24,3.056,6086
39,29,119,32,3.056,27
40,29,49,1,3.046,6891
41,28,120,1,3.039,247
42,29,111,28,3.029,15
43,28,101,1,3.028,88
44,23,141,1,3.012,124
45,36,92,1,3.007,1060
46,29,100,1,2.994,634
47,35,120,16,2.963,1775
48,35,124,1,2.961,236
49,33,92,18,2.956,784
50,23,131,18,2.949,562
51,29,86,33,2.947,482
52,29,117,1,2.943,8
53,29,121,1,2.937,3683
54,33,79,16,2.918,498
55,35,121,1,2.914,535
56,23,122,1,2.912,606
57,26,87,1,2.912,4
58,29,85,1,2.903,592
59,35,103,1,2.897,556
60,37,84,1,2.888,945
61,35,72,23,2.882,2941
62,23,122,1,2.864,274
63,33,88,16,2.861,417
64,34,94,1,2.843,1032
65,26,109,27,2.838,196
66,28,80,1,2.818,363
67,37,80,12,2.806,944
68,55,126,1,2.801,76
69,28,79,1,2.8,487
70,34,83,1,2.795,607
71,46,121,1,2.791,646
72,29,82,1,2.787,26
73,20,127,20,2.714,66
74,29,70,1,2.713,2273
75,29,96,1,2.705,1689
76,42,70,1,2.684,2841
77,29,111,1,2.677,1162
78,34,102,1,2.667,1890
79,35,44,1,2.665,9334
80,27,91,1,2.644,1449
81,26,90,26,2.643,251
82,43,108,16,2.638,145
83,46,96,1,2.607,777
84,23,103,26,2.607,221
85,34,69,1,2.596,3015
86,23,95,26,2.59,525
87,26,73,18,2.589,566
88,36,75,1,2.586,953
89,21,120,1,2.573,412
90,23,97,23,2.569,382
91,29,101,24,2.551,230
92,23,100,1,2.551,239
93,32,88,27,2.547,1256
94,35,77,1,2.535,1218
95,29,93,1,2.531,310
96,55,95,15,2.531,75
97,34,89,15,2.53,1955
98,29,71,1,2.524,328
99,29,59,27,2.52,1645
