,core,degree,h,influence,u
0,119,341,1,8.295999999999959,131
1,119,324,1,8.102999999999959,200
2,87,226,1,7.308999999999964,326
3,49,156,33,5.891999999999958,474
4,47,225,36,5.702999999999957,287
5,82,288,1,5.172999999999948,639
6,45,89,1,4.9909999999999615,134
7,35,155,1,4.86699999999996,266
8,47,146,18,4.6249999999999565,547
9,34,149,1,4.60399999999996,624
10,34,166,28,4.547999999999957,267
11,34,136,32,4.409999999999956,705
12,34,110,1,4.382999999999962,133
13,42,170,1,4.3689999999999545,608
14,36,147,27,4.357999999999955,553
15,82,158,1,4.273999999999955,744
16,56,153,18,4.08199999999995,638
17,36,89,1,4.026999999999942,261
18,26,162,38,3.985999999999955,100
19,38,58,1,3.7889999999999358,46
20,47,84,16,3.7599999999999434,5651
21,38,48,1,3.6029999999999363,201
22,34,140,24,3.481999999999952,359
23,29,116,32,3.4799999999999507,99
24,36,77,1,3.427999999999941,661
25,42,106,1,3.4089999999999505,1738
26,36,70,1,3.370999999999944,546
27,29,119,32,3.3299999999999503,27
28,35,125,22,3.3179999999999525,512
29,29,127,1,3.303999999999947,80
30,29,153,1,3.2429999999999484,559
31,28,120,1,3.236999999999945,247
32,34,78,21,3.194999999999938,2119
33,29,49,1,3.193999999999943,6891
34,31,146,1,3.1719999999999584,1292
35,34,105,1,3.1619999999999493,265
36,29,89,1,3.1279999999999433,1175
37,35,97,1,3.10699999999995,1059
38,23,141,1,3.082999999999955,124
39,36,92,1,3.0359999999999543,1060
40,35,120,16,3.0339999999999536,1775
41,29,100,1,3.0289999999999457,634
42,29,111,28,3.0149999999999504,15
43,29,102,1,2.9759999999999467,9
44,35,121,1,2.9609999999999554,535
45,37,84,1,2.953999999999952,945
46,33,92,18,2.9499999999999496,784
47,28,79,1,2.9309999999999463,487
48,29,121,1,2.913999999999951,3683
49,23,122,1,2.9109999999999556,274
