,core,degree,h,influence,u
0,21,100,39,2.618,135
1,28,96,39,2.53,59
2,28,75,39,2.203,131
3,28,74,37,2.177,167
4,21,57,31,2.032,6
5,21,62,35,2.003,69
6,28,59,1,1.961,98
7,21,59,1,1.954,82
8,21,56,1,1.946,193
9,28,60,36,1.94,107
10,21,53,33,1.938,68
11,28,56,1,1.895,130
12,21,53,1,1.893,163
13,28,55,34,1.882,121
14,21,48,1,1.859,169
15,21,59,33,1.849,157
16,28,49,34,1.847,99
17,28,51,1,1.831,134
18,28,49,34,1.828,100
19,21,55,1,1.823,191
20,21,52,1,1.821,173
21,28,48,33,1.806,104
22,28,46,1,1.792,97
23,21,45,1,1.779,170
24,17,54,29,1.776,148
25,17,52,29,1.773,95
26,28,43,31,1.764,34
27,28,43,33,1.761,109
28,28,46,31,1.741,178
29,21,46,1,1.736,194
30,21,46,1,1.717,53
31,28,43,31,1.716,153
32,21,44,28,1.695,113
33,21,41,1,1.672,117
34,28,38,1,1.67,106
35,21,40,28,1.669,94
36,21,42,1,1.668,52
37,21,42,29,1.666,80
38,21,39,28,1.66,149
39,28,39,1,1.649,105
40,21,36,1,1.647,196
41,17,46,25,1.647,4
42,21,45,1,1.645,195
43,28,34,1,1.641,65
44,21,39,27,1.639,182
45,28,40,1,1.634,122
46,17,45,24,1.629,166
47,21,39,27,1.615,120
48,20,37,29,1.609,17
49,17,40,1,1.596,171
50,21,42,29,1.595,48
51,21,39,1,1.587,177
52,28,34,1,1.585,39
53,21,35,1,1.585,129
54,28,33,31,1.582,108
55,28,33,1,1.579,64
56,21,41,1,1.573,110
57,28,41,31,1.572,31
58,28,34,1,1.571,32
59,21,33,25,1.571,60
60,21,37,1,1.564,56
61,17,33,24,1.562,89
62,17,40,24,1.562,127
63,28,37,30,1.56,43
64,21,31,27,1.559,124
65,17,41,21,1.556,152
66,17,40,24,1.553,85
67,28,30,1,1.547,61
68,28,32,30,1.542,63
69,17,39,24,1.539,146
70,28,32,1,1.538,57
71,28,31,1,1.521,62
72,21,29,1,1.515,42
73,17,36,1,1.513,87
74,21,29,25,1.513,126
75,21,31,1,1.495,141
76,19,24,1,1.489,86
77,21,32,1,1.484,55
78,20,30,1,1.482,70
79,21,28,1,1.482,192
80,21,27,1,1.472,145
81,17,31,1,1.469,28
82,21,29,1,1.466,66
83,18,29,1,1.465,23
84,21,27,1,1.464,189
85,17,31,25,1.455,72
86,21,26,24,1.453,35
87,20,28,23,1.452,111
88,20,27,23,1.445,49
89,20,31,1,1.443,160
90,20,27,23,1.442,9
91,21,27,1,1.432,92
92,17,31,23,1.423,25
93,18,26,20,1.417,77
94,20,25,1,1.412,13
95,21,26,1,1.412,93
96,20,24,21,1.411,18
97,17,31,1,1.408,188
98,20,23,1,1.404,140
99,17,31,1,1.399,139
100,21,25,1,1.399,181
101,18,21,1,1.388,7
102,17,29,22,1.386,76
103,17,28,22,1.379,27
104,20,23,1,1.377,150
105,17,23,1,1.375,168
106,18,23,20,1.371,0
107,17,23,19,1.371,137
108,18,23,1,1.369,102
109,18,23,1,1.366,45
110,20,25,23,1.351,54
111,20,21,1,1.347,11
112,15,21,18,1.344,8
113,17,25,22,1.342,190
114,15,24,1,1.34,90
115,17,24,1,1.338,175
116,19,20,1,1.338,176
117,17,24,1,1.334,172
118,20,20,1,1.334,30
119,17,22,19,1.332,155
120,18,20,1,1.326,73
121,17,25,1,1.326,12
122,17,19,1,1.326,84
123,19,19,1,1.324,21
124,16,23,19,1.319,10
125,13,16,1,1.316,136
126,14,20,1,1.309,115
127,20,23,1,1.307,128
128,17,22,1,1.307,183
129,14,14,14,1.299,67
130,15,19,16,1.293,50
131,15,19,1,1.289,161
132,15,19,1,1.287,79
133,17,18,1,1.287,174
134,15,18,1,1.287,186
135,15,17,1,1.283,142
136,17,17,1,1.283,88
137,15,20,1,1.28,103
138,12,14,13,1.28,83
139,15,20,17,1.271,78
140,15,17,16,1.267,125
141,16,16,1,1.255,3
142,15,19,1,1.255,37
143,15,18,1,1.255,138
144,15,18,16,1.251,96
145,16,20,1,1.244,154
146,17,19,1,1.241,101
147,15,16,1,1.241,75
148,14,15,1,1.24,184
149,11,11,1,1.238,19
150,15,17,1,1.231,74
151,15,17,1,1.229,143
152,15,16,1,1.223,123
153,14,14,1,1.222,197
154,11,13,1,1.221,133
155,13,13,1,1.22,22
156,14,14,14,1.207,165
157,11,12,1,1.204,162
158,13,13,1,1.204,26
159,13,13,1,1.196,185
160,13,13,1,1.188,112
161,12,13,1,1.187,116
162,11,12,1,1.185,41
163,11,12,1,1.177,58
164,10,10,1,1.154,187
165,8,9,8,1.139,15
166,9,9,1,1.136,71
167,8,8,8,1.132,14
168,10,10,1,1.131,158
169,8,8,1,1.126,81
170,8,8,8,1.116,47
171,7,7,7,1.111,44
172,6,6,1,1.103,51
173,8,9,1,1.094,118
174,7,7,7,1.089,40
175,4,6,5,1.084,132
176,6,6,6,1.083,38
177,4,6,5,1.082,24
178,4,7,1,1.077,114
179,3,4,1,1.075,33
180,4,5,5,1.071,36
181,6,6,6,1.07,180
182,4,4,1,1.068,2
183,3,3,1,1.054,1
184,3,5,4,1.049,179
185,4,5,5,1.048,91
186,2,4,3,1.045,156
187,2,2,1,1.038,16
188,4,5,5,1.036,147
189,3,3,1,1.033,46
190,2,3,1,1.028,151
191,2,2,1,1.026,5
192,2,2,1,1.025,144
193,1,1,1,1.022,20
194,1,1,1,1.017,159
195,1,1,1,1.014,119
196,1,1,1,1.008,29
197,1,1,1,1.005,164
