,k,run time,average cover size,S
0,1,0.2895732999999998,1.0000000000000007,[11404]
1,2,0.2760509999999998,2.0000000000000013,"[11404, 11405]"
2,3,0.2551401999999996,3.0000000000000027,"[11404, 11405, 11406]"
3,4,0.5196657000000009,4.060999999999991,"[11404, 11405, 11406, 1162]"
4,5,0.46726880000000115,5.08399999999992,"[11404, 11405, 11406, 1162, 10812]"
5,6,0.4800436999999995,6.0660000000000025,"[11404, 11405, 11406, 1162, 10812, 11407]"
6,7,0.43882649999999934,7.05599999999988,"[11404, 11405, 11406, 1162, 10812, 11407, 11408]"
7,8,0.6113786000000001,8.135000000000007,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250]"
8,9,0.6264551999999988,9.129000000000122,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409]"
9,10,0.6703910999999998,10.140999999999842,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410]"
10,11,0.6426401999999989,11.138999999999854,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411]"
11,12,0.6451071000000006,12.126000000000007,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261]"
12,13,0.6485337999999992,13.1229999999999,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412]"
13,14,0.6230297,14.11799999999979,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262]"
14,15,0.6228556999999988,15.127000000000171,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413]"
15,16,0.639347199999996,16.133999999999983,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263]"
16,17,0.829947599999997,17.183999999999855,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804]"
17,18,0.8057195000000021,18.212000000000238,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414]"
18,19,0.8159089000000037,19.167999999999804,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414, 13245]"
19,20,0.8160992000000036,20.189999999999777,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414, 13245, 9264]"
20,21,0.7806349000000026,21.17100000000035,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414, 13245, 9264, 11415]"
21,22,0.8060529000000045,22.1519999999997,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414, 13245, 9264, 11415, 13246]"
22,23,0.8348359000000016,23.18399999999977,"[11404, 11405, 11406, 1162, 10812, 11407, 11408, 2250, 11409, 11410, 11411, 9261, 11412, 9262, 11413, 9263, 4804, 11414, 13245, 9264, 11415, 13246, 9265]"
