,S,average cover size,k,run time
0,[1568],3.7299999999999507,1,4.6119064000000005
1,"[1568, 23571]",8.256999999999953,2,4.611908700000001
2,"[1568, 23571, 2356]",12.781999999999924,3,4.611909499999999
3,"[1568, 23571, 2356, 5312]",15.645999999999917,4,4.61191
4,"[1568, 23571, 2356, 5312, 4840]",23.458999999999925,5,4.6119108
5,"[1568, 23571, 2356, 5312, 4840, 7132]",26.5679999999999,6,4.6119117
6,"[1568, 23571, 2356, 5312, 4840, 7132, 2928]",30.238999999999894,7,4.611912200000001
7,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433]",31.441999999999908,8,4.611912800000001
8,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109]",35.26899999999998,9,4.611913700000001
9,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120]",39.36999999999994,10,4.611914499999999
10,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809]",42.41999999999988,11,4.611915
11,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723]",52.68299999999983,12,4.6119156
12,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362]",54.75799999999982,13,4.6119161
13,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801]",57.06899999999983,14,4.6119164999999995
14,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842]",59.8789999999999,15,4.611917099999999
15,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524]",60.44399999999983,16,4.6119176
16,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192]",65.61299999999996,17,4.6119185
17,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006]",67.0839999999999,18,4.611919500000001
18,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886]",70.0099999999999,19,4.6119202
19,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115]",76.19,20,4.611920700000001
20,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085]",77.5569999999999,21,4.611921300000001
21,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597]",79.47700000000005,22,4.6119217
22,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673]",81.81499999999974,23,4.6119222
23,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082]",85.29899999999984,24,4.611922700000001
24,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774]",85.6509999999997,25,4.611923300000001
25,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555]",89.05199999999974,26,4.6119243999999995
26,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460]",92.59499999999977,27,4.6119249
27,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849]",94.52999999999962,28,4.6119254000000005
28,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884]",100.0099999999997,29,4.611926
29,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869]",100.87699999999954,30,4.6119267
30,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502]",102.68399999999947,31,4.6119273
31,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606]",106.39299999999972,32,4.6119278999999995
32,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808]",107.92199999999976,33,4.611928300000001
33,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894]",110.39299999999962,34,4.6119289000000006
34,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081]",114.08499999999977,35,4.611929399999999
