,S,average cover size,k,run time
0,[1568],4.120999999999957,1,7.613520599999999
1,"[1568, 23571]",8.384999999999945,2,7.6135228
2,"[1568, 23571, 2356]",13.122999999999921,3,7.6135237
3,"[1568, 23571, 2356, 5312]",14.855999999999929,4,7.613525000000001
4,"[1568, 23571, 2356, 5312, 4840]",23.655999999999963,5,7.6135259999999985
5,"[1568, 23571, 2356, 5312, 4840, 7132]",27.23799999999993,6,7.613526900000002
6,"[1568, 23571, 2356, 5312, 4840, 7132, 2928]",30.75799999999993,7,7.613527599999999
7,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433]",31.802999999999912,8,7.6135283000000005
8,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109]",34.66499999999992,9,7.6135295
9,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120]",40.03699999999996,10,7.6135304
10,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809]",42.29799999999981,11,7.613531199999999
11,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723]",52.93399999999983,12,7.613532000000001
12,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362]",54.833999999999875,13,7.613532600000001
13,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801]",57.20999999999982,14,7.6135334
14,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842]",58.93999999999982,15,7.613534100000001
15,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524]",61.428999999999924,16,7.613534800000002
16,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192]",64.64499999999988,17,7.613536099999999
17,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006]",68.88600000000002,18,7.613537599999999
18,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886]",70.84600000000006,19,7.6135386
19,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115]",76.06199999999993,20,7.6135392
20,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085]",78.53699999999988,21,7.613540200000001
21,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597]",78.60700000000011,22,7.613541
22,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673]",81.0829999999999,23,7.613541799999998
23,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082]",83.5229999999998,24,7.613542600000001
24,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774]",87.1729999999999,25,7.613543300000002
25,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555]",87.94599999999988,26,7.6135447
26,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460]",93.49999999999974,27,7.613545799999999
27,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849]",96.48099999999967,28,7.6135465
28,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884]",99.18199999999969,29,7.613547299999999
29,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869]",101.13799999999961,30,7.613548100000001
30,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502]",102.77999999999969,31,7.613549000000001
