,k,run time,average cover size,S
0,1,4.632592439651489,3.8704,[1568]
1,2,4.632592439651489,8.1825,"[1568, 23571]"
2,3,4.632592439651489,13.2516,"[1568, 23571, 2356]"
3,4,4.632592439651489,15.2325,"[1568, 23571, 2356, 5312]"
4,5,4.632592439651489,23.6904,"[1568, 23571, 2356, 5312, 4840]"
5,6,4.632592439651489,27.1524,"[1568, 23571, 2356, 5312, 4840, 7132]"
6,7,4.632592439651489,29.8525,"[1568, 23571, 2356, 5312, 4840, 7132, 2928]"
7,8,4.632592439651489,31.7905,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433]"
8,9,4.632592439651489,35.2922,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109]"
9,10,4.632592439651489,39.3181,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120]"
10,11,4.632592439651489,42.9616,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809]"
11,12,4.632592439651489,52.5645,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723]"
12,13,4.632592439651489,54.8456,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362]"
13,14,4.632592439651489,56.3328,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801]"
14,15,4.632592439651489,59.3012,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842]"
15,16,4.632592439651489,60.999,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524]"
16,17,4.632592439651489,64.8705,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192]"
17,18,4.632592439651489,67.4101,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006]"
18,19,4.632592439651489,69.7195,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886]"
19,20,4.632592439651489,76.6535,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115]"
20,21,4.632592439651489,77.6792,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085]"
21,22,4.632592439651489,79.3437,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597]"
22,23,4.632592439651489,82.0661,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673]"
23,24,4.632592439651489,84.831,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082]"
24,25,4.632592439651489,86.0963,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774]"
25,26,4.632592439651489,88.5184,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555]"
26,27,4.632592439651489,93.1579,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460]"
27,28,4.632592439651489,95.9395,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849]"
28,29,4.632592439651489,99.9603,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884]"
29,30,4.632592439651489,100.818,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869]"
30,31,4.632592439651489,103.3853,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502]"
31,32,4.632592439651489,104.348,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606]"
32,33,4.632592439651489,107.8845,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808]"
33,34,4.632592439651489,111.1449,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894]"
34,35,4.632592439651489,115.844,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081]"
35,36,4.632592439651489,117.4879,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076]"
36,37,4.632592439651489,118.5971,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076, 1655]"
37,38,4.632592439651489,120.5098,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076, 1655, 9072]"
38,39,4.632592439651489,122.3679,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076, 1655, 9072, 5193]"
39,40,4.632592439651489,124.3608,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076, 1655, 9072, 5193, 31822]"
40,41,4.632592439651489,125.4818,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460, 7849, 5884, 18869, 13502, 1606, 3808, 6894, 12081, 12076, 1655, 9072, 5193, 31822, 13434]"
