,S,average cover size,k,run time
0,[18972],2.338,1,129.3072726726532
1,"[18972, 57571]",7.535,2,129.3072726726532
2,"[18972, 57571, 2419]",10.295,3,129.3072726726532
3,"[18972, 57571, 2419, 5945]",13.531,4,129.3072726726532
4,"[18972, 57571, 2419, 5945, 13830]",16.892,5,129.3072726726532
5,"[18972, 57571, 2419, 5945, 13830, 6737]",21.359,6,129.3072726726532
6,"[18972, 57571, 2419, 5945, 13830, 6737, 4799]",24.641,7,129.3072726726532
7,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546]",27.552,8,129.3072726726532
8,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267]",31.335,9,129.3072726726532
9,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917]",34.278,10,129.3072726726532
10,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466]",36.802,11,129.3072726726532
11,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323]",39.504,12,129.3072726726532
12,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346]",42.407,13,129.3072726726532
13,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414]",45.531,14,129.3072726726532
14,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877]",48.431,15,129.3072726726532
15,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427]",51.618,16,129.3072726726532
16,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594]",55.791,17,129.3072726726532
17,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820]",57.237,18,129.3072726726532
18,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208]",60.012,19,129.3072726726532
19,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759]",63.271,20,129.3072726726532
20,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706]",65.001,21,129.3072726726532
21,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777]",67.158,22,129.3072726726532
22,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321]",71.252,23,129.3082709312439
23,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321, 60376]",73.303,24,129.3082709312439
24,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321, 60376, 46213]",76.079,25,129.3082709312439
25,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321, 60376, 46213, 16392]",77.875,26,129.3082709312439
26,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321, 60376, 46213, 16392, 36868]",80.853,27,129.3082709312439
27,"[18972, 57571, 2419, 5945, 13830, 6737, 4799, 61546, 19267, 18917, 21466, 11323, 10346, 23414, 13877, 7427, 130594, 9820, 25208, 21759, 26706, 4777, 96321, 60376, 46213, 16392, 36868, 71372]",84.025,28,129.3082709312439
