,S,average cover size,k,run time
0,[124],1985.579,1,3.3732099533081055
1,"[124, 639]",1989.822,2,3.3732099533081055
2,"[124, 639, 4824]",1994.808,3,3.3732099533081055
3,"[124, 639, 4824, 2389]",1994.026,4,3.3732099533081055
4,"[124, 639, 4824, 2389, 606]",2000.592,5,3.3732099533081055
5,"[124, 639, 4824, 2389, 606, 507]",2007.203,6,3.3732099533081055
6,"[124, 639, 4824, 2389, 606, 507, 37]",2007.67,7,3.3732099533081055
7,"[124, 639, 4824, 2389, 606, 507, 37, 274]",2008.743,8,3.3732099533081055
8,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]",2008.539,9,3.3732099533081055
9,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]",2007.326,10,3.3732099533081055
10,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]",2012.451,11,3.3732099533081055
11,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]",2011.206,12,3.3732099533081055
12,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]",2011.846,13,3.3732099533081055
13,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]",2052.435,14,3.3732099533081055
14,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]",2053.106,15,3.3732099533081055
15,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]",2057.198,16,3.3732099533081055
16,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]",2058.199,17,3.3732099533081055
17,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]",2057.8,18,3.3732099533081055
18,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]",2064.394,19,3.3732099533081055
19,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]",2062.707,20,3.3732099533081055
20,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]",2067.68,21,3.3732099533081055
21,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]",2064.015,22,3.3732099533081055
22,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]",2068.357,23,3.3732099533081055
23,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]",2073.75,24,3.3732099533081055
24,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638]",2078.641,25,3.3732099533081055
25,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210]",2085.791,26,3.3732099533081055
26,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474]",2083.764,27,3.3732099533081055
27,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100]",2078.346,28,3.3732099533081055
28,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255]",2083.508,29,3.3732099533081055
29,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41]",2089.423,30,3.3732099533081055
30,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989]",2091.366,31,3.3732099533081055
