,k,run time,average cover size,S
0,1,0.7659516334533691,3.5092,[6932]
1,2,0.7659516334533691,6.3773,"[6932, 7324]"
2,3,0.7659516334533691,8.9215,"[6932, 7324, 7369]"
3,4,0.7659516334533691,11.1561,"[6932, 7324, 7369, 6467]"
4,5,0.7659516334533691,12.8637,"[6932, 7324, 7369, 6467, 4262]"
5,6,0.7659516334533691,21.2654,"[6932, 7324, 7369, 6467, 4262, 6655]"
6,7,0.7659516334533691,22.9927,"[6932, 7324, 7369, 6467, 4262, 6655, 6800]"
7,8,0.7659516334533691,26.0601,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098]"
8,9,0.7659516334533691,28.3725,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121]"
9,10,0.7659516334533691,29.731,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156]"
10,11,0.7659516334533691,31.7379,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992]"
11,12,0.7659516334533691,41.4984,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143]"
12,13,0.7659516334533691,44.7242,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351]"
13,14,0.7659516334533691,46.6004,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639]"
14,15,0.7659516334533691,48.3933,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019]"
15,16,0.7659516334533691,49.4859,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321]"
16,17,0.7659516334533691,52.5342,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960]"
17,18,0.7659516334533691,54.2254,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217]"
18,19,0.7659516334533691,56.4392,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227]"
19,20,0.7659516334533691,58.1417,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034]"
20,21,0.7659516334533691,60.0519,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297]"
21,22,0.7659516334533691,61.5478,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537]"
22,23,0.7659516334533691,64.8228,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466]"
23,24,0.7659516334533691,66.5258,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867]"
24,25,0.7659516334533691,68.9993,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784]"
25,26,0.7659516334533691,70.6242,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159]"
26,27,0.7659516334533691,72.1,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585]"
27,28,0.7659516334533691,74.0652,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281]"
28,29,0.7659516334533691,75.7159,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493]"
29,30,0.7659516334533691,76.8879,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158]"
30,31,0.7659516334533691,81.5697,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158, 5848]"
31,32,0.7659516334533691,85.9753,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158, 5848, 6555]"
32,33,0.7659516334533691,87.2989,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158, 5848, 6555, 5668]"
33,34,0.7659516334533691,90.3854,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158, 5848, 6555, 5668, 604]"
34,35,0.7659516334533691,91.6415,"[6932, 7324, 7369, 6467, 4262, 6655, 6800, 6098, 5121, 5156, 4992, 1143, 5351, 6639, 2019, 6321, 6960, 7217, 1227, 7034, 7297, 4537, 4466, 6867, 3784, 5159, 7585, 6281, 3493, 7158, 5848, 6555, 5668, 604, 1017]"
