,S,average cover size,k,run time
0,[124],9.1108,1,1.1000542640686035
1,"[124, 639]",22.5613,2,1.1000542640686035
2,"[124, 639, 4824]",27.6013,3,1.1000542640686035
3,"[124, 639, 4824, 2389]",29.89,4,1.1000542640686035
4,"[124, 639, 4824, 2389, 606]",39.0091,5,1.1000542640686035
5,"[124, 639, 4824, 2389, 606, 507]",40.8462,6,1.1000542640686035
6,"[124, 639, 4824, 2389, 606, 507, 37]",44.4058,7,1.1000542640686035
7,"[124, 639, 4824, 2389, 606, 507, 37, 274]",54.8739,8,1.1000542640686035
8,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]",59.416,9,1.1000542640686035
9,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]",65.4715,10,1.1000542640686035
10,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]",67.9486,11,1.1000542640686035
11,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]",92.9236,12,1.1000542640686035
12,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]",95.3428,13,1.1000542640686035
13,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]",97.6976,14,1.1000542640686035
14,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]",99.2938,15,1.1000542640686035
15,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]",100.3138,16,1.1000542640686035
16,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]",103.1522,17,1.1000542640686035
17,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]",109.8311,18,1.1000542640686035
18,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]",112.6249,19,1.1000542640686035
19,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]",116.234,20,1.1000542640686035
20,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]",118.4694,21,1.1000542640686035
21,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]",124.3383,22,1.1000542640686035
22,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]",124.595,23,1.1000542640686035
23,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]",127.0407,24,1.1000542640686035
24,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638]",127.9682,25,1.1000542640686035
