,S,average cover size,k,run time
0,[124],8.653999999999964,1,4.718069500000006
1,"[124, 639]",22.95399999999993,2,4.718073199999999
2,"[124, 639, 4824]",27.62699999999993,3,4.718074800000004
3,"[124, 639, 4824, 2389]",30.442999999999937,4,4.718076500000002
4,"[124, 639, 4824, 2389, 606]",39.12899999999996,5,4.718078500000004
5,"[124, 639, 4824, 2389, 606, 507]",41.73299999999994,6,4.718080300000004
6,"[124, 639, 4824, 2389, 606, 507, 37]",44.381999999999955,7,4.7180818
7,"[124, 639, 4824, 2389, 606, 507, 37, 274]",55.41199999999984,8,4.718083400000005
8,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]",59.84199999999983,9,4.718085300000006
9,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]",66.19799999999992,10,4.718087100000005
10,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]",66.99599999999984,11,4.718088700000003
11,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]",92.87399999999977,12,4.718090200000006
12,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]",95.74399999999994,13,4.718091600000001
13,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]",97.45499999999984,14,4.718093600000003
14,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]",98.58299999999984,15,4.718095099999999
15,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]",101.02599999999983,16,4.718096800000005
16,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]",103.70799999999969,17,4.718099000000002
17,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]",108.56399999999954,18,4.718100900000003
18,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]",111.40699999999997,19,4.7181025000000005
19,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]",117.62199999999977,20,4.718103900000003
20,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]",116.0989999999998,21,4.7181055
21,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]",125.39400000000016,22,4.7181067
22,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]",124.71700000000004,23,4.718108300000004
23,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]",126.348,24,4.718109600000005
24,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638]",128.7209999999999,25,4.718111200000003
25,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210]",133.05399999999986,26,4.718113200000005
26,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474]",136.34000000000012,27,4.718115100000006
27,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100]",145.82200000000012,28,4.718116500000001
28,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255]",147.1250000000001,29,4.718117800000002
29,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41]",151.08200000000025,30,4.718119200000004
30,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989]",154.2060000000002,31,4.718120500000005
