,S,average cover size,k,run time
0,[104],5.9419,1,0.6088864803314209
1,"[104, 375]",8.3385,2,0.6088864803314209
2,"[104, 375, 13]",11.289,3,0.6088864803314209
3,"[104, 375, 13, 20]",14.6469,4,0.6088864803314209
4,"[104, 375, 13, 20, 354]",17.7721,5,0.6088864803314209
5,"[104, 375, 13, 20, 354, 23]",20.7861,6,0.6088864803314209
6,"[104, 375, 13, 20, 354, 23, 459]",23.1263,7,0.6088864803314209
7,"[104, 375, 13, 20, 354, 23, 459, 40]",26.2963,8,0.6088864803314209
8,"[104, 375, 13, 20, 354, 23, 459, 40, 57]",28.8098,9,0.6088864803314209
9,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22]",32.3723,10,0.6088864803314209
10,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577]",35.0036,11,0.6088864803314209
11,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611]",36.5039,12,0.6088864803314209
12,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482]",38.4894,13,0.6088864803314209
13,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453]",40.548,14,0.6088864803314209
14,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71]",43.0292,15,0.6088864803314209
15,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286]",44.9042,16,0.6088864803314209
16,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195]",48.075,17,0.6088864803314209
17,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232]",51.0612,18,0.6088864803314209
18,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134]",53.5711,19,0.6088864803314209
19,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366]",55.3649,20,0.6088864803314209
