,k,run time,average cover size,S
0,1,1.8869540691375732,1030.647,[107]
1,2,1.8869540691375732,1078.776,"[107, 3437]"
2,3,1.8869540691375732,1123.748,"[107, 3437, 0]"
3,4,1.8869540691375732,1356.619,"[107, 3437, 0, 1684]"
4,5,1.8869540691375732,1470.237,"[107, 3437, 0, 1684, 1912]"
5,6,1.8869540691375732,1474.601,"[107, 3437, 0, 1684, 1912, 348]"
6,7,1.8869540691375732,1473.96,"[107, 3437, 0, 1684, 1912, 348, 414]"
7,8,1.8869540691375732,1477.434,"[107, 3437, 0, 1684, 1912, 348, 414, 3980]"
8,9,1.8869540691375732,1499.594,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686]"
9,10,1.8869540691375732,1498.653,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698]"
10,11,1.8869540691375732,1509.953,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830]"
11,12,1.8869540691375732,1512.794,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483]"
12,13,1.8869540691375732,1510.951,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313]"
13,14,1.8869540691375732,1511.739,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376]"
14,15,1.8869540691375732,1513.756,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563]"
15,16,1.8869540691375732,1512.725,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047]"
16,17,1.8869540691375732,1519.321,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25]"
17,18,1.8869540691375732,1522.394,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505]"
18,19,1.8869540691375732,1522.387,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863]"
19,20,1.8869540691375732,1527.599,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119]"
20,21,1.8869540691375732,1528.821,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171]"
21,22,1.8869540691375732,1530.289,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428]"
22,23,1.8869540691375732,1529.574,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322]"
23,24,1.8869540691375732,1534.718,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918]"
24,25,1.8869540691375732,1535.015,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964]"
25,26,1.8869540691375732,1538.134,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828]"
26,27,1.8869540691375732,1548.443,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713]"
27,28,1.8869540691375732,1546.395,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521]"
28,29,1.8869540691375732,1546.091,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917]"
29,30,1.8869540691375732,1551.907,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917, 56]"
