,S,average cover size,k,run time
0,[124],325.152,1,3.8088138103485107
1,"[124, 639]",430.846,2,3.8088138103485107
2,"[124, 639, 4824]",446.904,3,3.8088138103485107
3,"[124, 639, 4824, 2389]",484.815,4,3.8088138103485107
4,"[124, 639, 4824, 2389, 606]",527.702,5,3.8088138103485107
5,"[124, 639, 4824, 2389, 606, 507]",528.523,6,3.8088138103485107
6,"[124, 639, 4824, 2389, 606, 507, 37]",545.214,7,3.8088138103485107
7,"[124, 639, 4824, 2389, 606, 507, 37, 274]",564.73,8,3.8088138103485107
8,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]",574.786,9,3.8088138103485107
9,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]",582.359,10,3.8088138103485107
10,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]",585.621,11,3.8088138103485107
11,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]",593.685,12,3.8088138103485107
12,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]",594.377,13,3.8088138103485107
13,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]",598.475,14,3.8088138103485107
14,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]",598.325,15,3.8088138103485107
15,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]",601.616,16,3.8088138103485107
16,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]",602.487,17,3.8088138103485107
17,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]",610.871,18,3.8088138103485107
18,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]",616.832,19,3.8088138103485107
19,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]",621.886,20,3.8088138103485107
20,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]",620.336,21,3.8088138103485107
21,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]",628.889,22,3.8088138103485107
22,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]",632.141,23,3.8088138103485107
23,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]",638.33,24,3.8088138103485107
