,k,run time,average cover size,S
0,1,5.578083753585815,1294.715,[1568]
1,2,5.578083753585815,1403.206,"[1568, 23571]"
2,3,5.578083753585815,2508.607,"[1568, 23571, 2356]"
3,4,5.578083753585815,2508.386,"[1568, 23571, 2356, 5312]"
4,5,5.578083753585815,2617.809,"[1568, 23571, 2356, 5312, 4840]"
5,6,5.578083753585815,2642.148,"[1568, 23571, 2356, 5312, 4840, 7132]"
6,7,5.578083753585815,2649.673,"[1568, 23571, 2356, 5312, 4840, 7132, 2928]"
7,8,5.578083753585815,2650.538,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433]"
8,9,5.578083753585815,2659.134,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109]"
9,10,5.578083753585815,2655.126,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120]"
10,11,5.578083753585815,2659.701,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809]"
11,12,5.578083753585815,2661.16,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723]"
12,13,5.578083753585815,2667.169,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362]"
13,14,5.578083753585815,2676.579,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801]"
14,15,5.578083753585815,2681.828,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842]"
15,16,5.578083753585815,2681.002,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524]"
16,17,5.578083753585815,2694.52,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192]"
17,18,5.578083753585815,2689.469,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006]"
18,19,5.578083753585815,2701.538,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886]"
19,20,5.578083753585815,2694.05,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115]"
20,21,5.578083753585815,2694.734,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085]"
21,22,5.578083753585815,2704.648,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597]"
