,k,run time,average cover size,S
0,1,1.1180310249328613,719.222,[124]
1,2,1.1180310249328613,809.266,"[124, 639]"
2,3,1.1180310249328613,839.02,"[124, 639, 4824]"
3,4,1.1180310249328613,843.362,"[124, 639, 4824, 2389]"
4,5,1.1180310249328613,861.847,"[124, 639, 4824, 2389, 606]"
5,6,1.1180310249328613,864.67,"[124, 639, 4824, 2389, 606, 507]"
6,7,1.1180310249328613,871.14,"[124, 639, 4824, 2389, 606, 507, 37]"
7,8,1.1180310249328613,878.365,"[124, 639, 4824, 2389, 606, 507, 37, 274]"
8,9,1.1180310249328613,880.129,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]"
9,10,1.1180310249328613,885.234,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]"
10,11,1.1180310249328613,885.887,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]"
11,12,1.1180310249328613,883.377,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]"
12,13,1.1180310249328613,887.486,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]"
13,14,1.1180310249328613,892.76,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]"
14,15,1.1180310249328613,892.187,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]"
15,16,1.1180310249328613,895.489,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]"
16,17,1.1180310249328613,900.533,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]"
17,18,1.1180310249328613,906.933,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]"
18,19,1.1180310249328613,909.553,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]"
19,20,1.1180310249328613,912.772,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]"
20,21,1.1180310249328613,917.187,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]"
21,22,1.1180310249328613,917.25,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]"
22,23,1.1180310249328613,918.046,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]"
23,24,1.1180310249328613,925.838,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]"
24,25,1.1180310249328613,926.757,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638]"
25,26,1.1180310249328613,926.974,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210]"
26,27,1.1180310249328613,925.293,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474]"
27,28,1.1180310249328613,925.447,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100]"
28,29,1.1180310249328613,931.796,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255]"
29,30,1.1180310249328613,932.329,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41]"
