,k,run time,average cover size,S
0,1,0.250333309173584,462.984,[104]
1,2,0.250333309173584,466.258,"[104, 375]"
2,3,0.250333309173584,467.209,"[104, 375, 13]"
3,4,0.250333309173584,467.466,"[104, 375, 13, 20]"
4,5,0.250333309173584,468.445,"[104, 375, 13, 20, 354]"
5,6,0.250333309173584,466.022,"[104, 375, 13, 20, 354, 23]"
6,7,0.250333309173584,470.112,"[104, 375, 13, 20, 354, 23, 459]"
7,8,0.250333309173584,469.769,"[104, 375, 13, 20, 354, 23, 459, 40]"
8,9,0.250333309173584,469.102,"[104, 375, 13, 20, 354, 23, 459, 40, 57]"
9,10,0.250333309173584,468.785,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22]"
10,11,0.250333309173584,471.285,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577]"
11,12,0.250333309173584,472.175,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611]"
12,13,0.250333309173584,473.346,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482]"
13,14,0.250333309173584,473.487,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453]"
14,15,0.250333309173584,475.023,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71]"
15,16,0.250333309173584,475.482,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286]"
16,17,0.250333309173584,476.782,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195]"
17,18,0.250333309173584,476.766,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232]"
18,19,0.250333309173584,476.268,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134]"
19,20,0.250333309173584,477.544,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366]"
20,21,0.250333309173584,477.514,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597]"
21,22,0.250333309173584,479.711,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269]"
22,23,0.250333309173584,479.175,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269, 115]"
23,24,0.250333309173584,479.333,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269, 115, 68]"
24,25,0.250333309173584,479.342,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269, 115, 68, 9]"
25,26,0.250333309173584,479.545,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269, 115, 68, 9, 1]"
26,27,0.250333309173584,479.161,"[104, 375, 13, 20, 354, 23, 459, 40, 57, 22, 577, 611, 482, 453, 71, 286, 195, 232, 134, 366, 597, 269, 115, 68, 9, 1, 151]"
