,k,run time,average cover size,S
0,1,2.8321926593780518,3298.55,[107]
1,2,2.8321926593780518,3302.64,"[107, 3437]"
2,3,2.8321926593780518,3318.573,"[107, 3437, 0]"
3,4,2.8321926593780518,3317.707,"[107, 3437, 0, 1684]"
4,5,2.8321926593780518,3317.94,"[107, 3437, 0, 1684, 1912]"
5,6,2.8321926593780518,3319.102,"[107, 3437, 0, 1684, 1912, 348]"
6,7,2.8321926593780518,3317.347,"[107, 3437, 0, 1684, 1912, 348, 414]"
7,8,2.8321926593780518,3344.974,"[107, 3437, 0, 1684, 1912, 348, 414, 3980]"
8,9,2.8321926593780518,3462.439,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686]"
9,10,2.8321926593780518,3461.906,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698]"
10,11,2.8321926593780518,3461.837,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830]"
11,12,2.8321926593780518,3462.104,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483]"
12,13,2.8321926593780518,3462.342,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313]"
13,14,2.8321926593780518,3462.631,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376]"
14,15,2.8321926593780518,3461.629,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563]"
15,16,2.8321926593780518,3462.615,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047]"
16,17,2.8321926593780518,3462.341,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25]"
17,18,2.8321926593780518,3462.015,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505]"
18,19,2.8321926593780518,3462.212,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863]"
19,20,2.8321926593780518,3462.588,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119]"
20,21,2.8321926593780518,3460.968,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171]"
21,22,2.8321926593780518,3463.576,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428]"
22,23,2.8321926593780518,3463.925,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322]"
23,24,2.8321926593780518,3465.524,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918]"
24,25,2.8321926593780518,3463.311,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964]"
25,26,2.8321926593780518,3463.937,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828]"
26,27,2.8321926593780518,3463.154,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713]"
27,28,2.8321926593780518,3466.501,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521]"
28,29,2.8321926593780518,3464.518,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917]"
29,30,2.8321926593780518,3464.564,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917, 56]"
30,31,2.8321926593780518,3464.745,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917, 56, 1783]"
31,32,2.8321926593780518,3463.341,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917, 56, 1783, 3596]"
32,33,2.8321926593780518,3462.675,"[107, 3437, 0, 1684, 1912, 348, 414, 3980, 686, 698, 3830, 483, 2313, 376, 563, 2047, 25, 1505, 2863, 119, 171, 428, 322, 3918, 1964, 828, 713, 3521, 917, 56, 1783, 3596, 475]"
