,k,run time,average cover size,S
0,1,0.7727551460266113,1.0295,[1888]
1,2,0.7727551460266113,3.7828,"[1888, 3830]"
2,3,0.7727551460266113,71.9205,"[1888, 3830, 563]"
3,4,0.7727551460266113,71.2372,"[1888, 3830, 563, 3434]"
4,5,0.7727551460266113,74.9621,"[1888, 3830, 563, 3434, 322]"
5,6,0.7727551460266113,71.9781,"[1888, 3830, 563, 3434, 322, 2642]"
6,7,0.7727551460266113,73.2038,"[1888, 3830, 563, 3434, 322, 2642, 3426]"
7,8,0.7727551460266113,74.9811,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397]"
8,9,0.7727551460266113,77.1115,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649]"
9,10,0.7727551460266113,76.2147,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853]"
10,11,0.7727551460266113,76.8451,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918]"
11,12,0.7727551460266113,81.9305,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844]"
12,13,0.7727551460266113,81.8176,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911]"
13,14,0.7727551460266113,82.1473,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948]"
14,15,0.7727551460266113,84.4781,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882]"
15,16,0.7727551460266113,83.9278,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938]"
16,17,0.7727551460266113,85.1037,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629]"
17,18,0.7727551460266113,87.2423,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363]"
18,19,0.7727551460266113,88.0113,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611]"
19,20,0.7727551460266113,88.4212,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655]"
20,21,0.7727551460266113,91.7864,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655, 3360]"
21,22,0.7727551460266113,93.0315,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655, 3360, 1827]"
22,23,0.7727551460266113,90.5651,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655, 3360, 1827, 2659]"
23,24,0.7727551460266113,90.7216,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655, 3360, 1827, 2659, 1783]"
24,25,0.7727551460266113,94.8603,"[1888, 3830, 563, 3434, 322, 2642, 3426, 3397, 2649, 853, 3918, 1844, 1911, 3948, 1882, 3938, 2629, 3363, 2611, 2655, 3360, 1827, 2659, 1783, 1902]"
