,k,run time,average cover size,S
0,1,0.5302693843841553,3164.168,[124]
1,2,0.5302693843841553,3276.362,"[124, 639]"
2,3,0.5302693843841553,3290.841,"[124, 639, 4824]"
3,4,0.5302693843841553,3305.149,"[124, 639, 4824, 2389]"
4,5,0.5302693843841553,3314.123,"[124, 639, 4824, 2389, 606]"
5,6,0.5302693843841553,3330.216,"[124, 639, 4824, 2389, 606, 507]"
6,7,0.5302693843841553,3334.29,"[124, 639, 4824, 2389, 606, 507, 37]"
7,8,0.5302693843841553,3335.76,"[124, 639, 4824, 2389, 606, 507, 37, 274]"
8,9,0.5302693843841553,3339.794,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562]"
9,10,0.5302693843841553,3347.549,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412]"
10,11,0.5302693843841553,3359.172,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266]"
11,12,0.5302693843841553,3365.966,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326]"
12,13,0.5302693843841553,3365.937,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131]"
13,14,0.5302693843841553,3420.47,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429]"
14,15,0.5302693843841553,3427.554,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320]"
15,16,0.5302693843841553,3442.142,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796]"
16,17,0.5302693843841553,3440.464,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866]"
17,18,0.5302693843841553,3452.145,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292]"
18,19,0.5302693843841553,3464.057,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92]"
19,20,0.5302693843841553,3472.865,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159]"
20,21,0.5302693843841553,3476.61,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695]"
21,22,0.5302693843841553,3484.49,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162]"
22,23,0.5302693843841553,3485.977,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200]"
23,24,0.5302693843841553,3498.721,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307]"
24,25,0.5302693843841553,3520.932,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638]"
25,26,0.5302693843841553,3517.775,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210]"
26,27,0.5302693843841553,3519.211,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474]"
27,28,0.5302693843841553,3532.662,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100]"
28,29,0.5302693843841553,3536.91,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255]"
29,30,0.5302693843841553,3542.463,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41]"
30,31,0.5302693843841553,3556.105,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989]"
31,32,0.5302693843841553,3567.148,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692]"
32,33,0.5302693843841553,3578.551,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061]"
33,34,0.5302693843841553,3580.641,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987]"
34,35,0.5302693843841553,3593.375,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236]"
35,36,0.5302693843841553,3590.298,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236, 239]"
36,37,0.5302693843841553,3591.034,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236, 239, 417]"
37,38,0.5302693843841553,3603.231,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236, 239, 417, 105]"
38,39,0.5302693843841553,3612.364,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236, 239, 417, 105, 1635]"
39,40,0.5302693843841553,3611.515,"[124, 639, 4824, 2389, 606, 507, 37, 274, 562, 412, 4266, 326, 131, 1429, 1320, 2796, 866, 1292, 92, 1159, 695, 1162, 200, 307, 6638, 210, 474, 100, 255, 41, 989, 1692, 2061, 1987, 236, 239, 417, 105, 1635, 66]"
