,k,run time,average cover size,S
0,1,2.305083751678467,177.652,[1568]
1,2,2.305083751678467,239.731,"[1568, 23571]"
2,3,2.305083751678467,472.766,"[1568, 23571, 2356]"
3,4,2.305083751678467,520.253,"[1568, 23571, 2356, 5312]"
4,5,2.305083751678467,1016.733,"[1568, 23571, 2356, 5312, 4840]"
5,6,2.305083751678467,1139.024,"[1568, 23571, 2356, 5312, 4840, 7132]"
6,7,2.305083751678467,1228.329,"[1568, 23571, 2356, 5312, 4840, 7132, 2928]"
7,8,2.305083751678467,1312.119,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433]"
8,9,2.305083751678467,1451.206,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109]"
9,10,2.305083751678467,1547.533,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120]"
10,11,2.305083751678467,1684.516,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809]"
11,12,2.305083751678467,1848.737,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723]"
12,13,2.305083751678467,1899.1,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362]"
13,14,2.305083751678467,1962.169,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801]"
14,15,2.305083751678467,2019.464,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842]"
15,16,2.305083751678467,2055.704,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524]"
16,17,2.305083751678467,2139.432,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192]"
17,18,2.305083751678467,2147.145,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006]"
18,19,2.305083751678467,2205.511,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886]"
19,20,2.305083751678467,2257.654,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115]"
20,21,2.305083751678467,2256.872,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085]"
21,22,2.305083751678467,2286.79,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597]"
22,23,2.305083751678467,2353.231,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673]"
23,24,2.305083751678467,2375.11,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082]"
24,25,2.305083751678467,2456.377,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774]"
25,26,2.305083751678467,2426.833,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555]"
26,27,2.305083751678467,2552.542,"[1568, 23571, 2356, 5312, 4840, 7132, 2928, 1433, 4109, 5120, 809, 1723, 2362, 2801, 3842, 524, 5192, 3006, 8886, 4115, 8085, 31597, 3673, 12082, 11774, 19555, 3460]"
