,k,run time,average cover size,S
0,1,0.29378342628479004,2.3284,[7324]
1,2,0.29378342628479004,15.3343,"[7324, 6932]"
2,3,0.29378342628479004,16.3283,"[7324, 6932, 7369]"
3,4,0.29378342628479004,21.7067,"[7324, 6932, 7369, 6467]"
4,5,0.29378342628479004,32.1863,"[7324, 6932, 7369, 6467, 6655]"
5,6,0.29378342628479004,33.2501,"[7324, 6932, 7369, 6467, 6655, 7338]"
6,7,0.29378342628479004,40.6853,"[7324, 6932, 7369, 6467, 6655, 7338, 6800]"
7,8,0.29378342628479004,42.1424,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155]"
8,9,0.29378342628479004,54.9358,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098]"
9,10,0.29378342628479004,55.9537,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297]"
10,11,0.29378342628479004,58.1127,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315]"
11,12,0.29378342628479004,63.8734,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639]"
12,13,0.29378342628479004,64.8386,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585]"
13,14,0.29378342628479004,66.5143,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867]"
14,15,0.29378342628479004,68.3402,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061]"
15,16,0.29378342628479004,69.3282,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795]"
16,17,0.29378342628479004,81.7131,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121]"
17,18,0.29378342628479004,84.7249,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217]"
18,19,0.29378342628479004,86.0209,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034]"
19,20,0.29378342628479004,88.0846,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286]"
20,21,0.29378342628479004,107.2112,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262]"
21,22,0.29378342628479004,109.4017,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768]"
22,23,0.29378342628479004,112.713,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960]"
23,24,0.29378342628479004,117.7464,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555]"
24,25,0.29378342628479004,121.9216,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281]"
25,26,0.29378342628479004,134.918,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992]"
26,27,0.29378342628479004,136.1897,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129]"
27,28,0.29378342628479004,141.3103,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321]"
28,29,0.29378342628479004,146.3647,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848]"
29,30,0.29378342628479004,148.6696,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486]"
30,31,0.29378342628479004,149.8345,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321]"
31,32,0.29378342628479004,150.6846,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321, 7568]"
32,33,0.29378342628479004,151.6415,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321, 7568, 7529]"
33,34,0.29378342628479004,154.1168,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321, 7568, 7529, 7158]"
34,35,0.29378342628479004,167.4689,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321, 7568, 7529, 7158, 5156]"
35,36,0.29378342628479004,169.0695,"[7324, 6932, 7369, 6467, 6655, 7338, 6800, 7155, 6098, 7297, 7315, 6639, 7585, 6867, 7061, 7795, 5121, 7217, 7034, 7286, 4262, 6768, 6960, 6555, 6281, 4992, 7129, 6321, 5848, 6486, 7321, 7568, 7529, 7158, 5156, 7128]"
