,k,run time,average cover size,S
0,1,0.055948734283447266,1.0,[71]
1,2,0.055948734283447266,2.0,"[71, 92]"
2,3,0.055948734283447266,3.1063,"[71, 92, 75]"
3,4,0.055948734283447266,4.1497,"[71, 92, 75, 68]"
4,5,0.055948734283447266,5.2753,"[71, 92, 75, 68, 55]"
5,6,0.055948734283447266,6.28,"[71, 92, 75, 68, 55, 91]"
6,7,0.055948734283447266,7.4498,"[71, 92, 75, 68, 55, 91, 93]"
7,8,0.055948734283447266,8.6296,"[71, 92, 75, 68, 55, 91, 93, 48]"
8,9,0.055948734283447266,9.6032,"[71, 92, 75, 68, 55, 91, 93, 48, 89]"
9,10,0.055948734283447266,11.0254,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57]"
10,11,0.055948734283447266,12.0449,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79]"
11,12,0.055948734283447266,13.8169,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40]"
12,13,0.055948734283447266,15.0337,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41]"
13,14,0.055948734283447266,16.0998,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51]"
14,15,0.055948734283447266,17.1823,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72]"
15,16,0.055948734283447266,18.1703,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72, 81]"
16,17,0.055948734283447266,19.4214,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72, 81, 756]"
17,18,0.055948734283447266,21.2136,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72, 81, 756, 611]"
18,19,0.055948734283447266,22.2079,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72, 81, 756, 611, 50]"
19,20,0.055948734283447266,26.0808,"[71, 92, 75, 68, 55, 91, 93, 48, 89, 57, 79, 40, 41, 51, 72, 81, 756, 611, 50, 577]"
