,S,average cover size,k,run time
0,"[151, 94, 331, 448, 1651]",5.321999999999932,5,10.2751211
1,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964]",11.345999999999876,10,12.143324399999997
2,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429]",17.240000000000006,15,11.9326085
3,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384]",23.38799999999986,20,11.997752600000005
4,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241]",28.74799999999993,25,10.815794299999993
5,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241, 2563, 2501, 4931, 5120, 2145]",35.169999999999966,30,11.735550400000008
6,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241, 2563, 2501, 4931, 5120, 2145, 9406, 5845, 3660, 8459, 821]",41.307999999999865,35,10.506490200000002
7,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241, 2563, 2501, 4931, 5120, 2145, 9406, 5845, 3660, 8459, 821, 2147, 4573, 251, 1983, 626]",46.855999999999916,40,12.149115499999994
8,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241, 2563, 2501, 4931, 5120, 2145, 9406, 5845, 3660, 8459, 821, 2147, 4573, 251, 1983, 626, 9402, 624, 297, 5190, 2877]",52.516999999999726,45,12.285718500000002
9,"[151, 94, 331, 448, 1651, 449, 848, 33, 518, 1964, 447, 767, 517, 95, 429, 6412, 766, 627, 1408, 7384, 93, 2423, 2558, 56, 1241, 2563, 2501, 4931, 5120, 2145, 9406, 5845, 3660, 8459, 821, 2147, 4573, 251, 1983, 626, 9402, 624, 297, 5190, 2877, 4104, 347, 23, 3894, 3661]",60.91599999999986,50,10.321199399999983
