,S,average cover size,k,run time
0,"[379186, 56167, 369092, 418686, 314750]",9.428000000000038,5,10.427488999999998
1,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845]",15.378999999999918,10,11.679732099999999
2,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443]",23.288999999999945,15,10.449765399999997
3,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566]",35.12899999999998,20,13.336051900000001
4,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966]",52.76099999999986,25,11.4675522
5,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966, 349076, 198815, 361303, 293402, 369091]",61.067999999999905,30,11.172474100000002
6,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966, 349076, 198815, 361303, 293402, 369091, 347836, 54629, 412065, 416524, 389685]",83.69899999999977,35,12.297011699999999
7,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966, 349076, 198815, 361303, 293402, 369091, 347836, 54629, 412065, 416524, 389685, 402466, 347741, 364248, 375425, 374502]",90.09499999999976,40,11.330366999999995
8,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966, 349076, 198815, 361303, 293402, 369091, 347836, 54629, 412065, 416524, 389685, 402466, 347741, 364248, 375425, 374502, 412990, 158464, 419694, 333071, 200759]",95.45499999999954,45,11.799331999999993
9,"[379186, 56167, 369092, 418686, 314750, 283266, 347088, 369792, 315779, 393845, 153693, 331533, 393846, 370499, 362443, 421001, 280727, 196700, 364863, 190566, 353959, 56714, 368560, 388685, 402966, 349076, 198815, 361303, 293402, 369091, 347836, 54629, 412065, 416524, 389685, 402466, 347741, 364248, 375425, 374502, 412990, 158464, 419694, 333071, 200759, 313840, 91107, 164562, 423348, 291156]",107.42399999999951,50,10.262786299999988
