,S,average cover size,k,run time
0,"[18, 4415, 751, 1753, 737]",323.3839999999999,5,3.8882198999999993
1,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641]",456.73900000000026,10,3.6379082999999994
2,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136]",575.6589999999994,15,3.495503600000003
3,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412]",973.5820000000002,20,3.5235628000000005
4,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619]",1199.3970000000002,25,3.6967670000000012
5,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619, 849, 763, 3428, 49, 143]",2544.224999999996,30,3.524803999999996
6,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619, 849, 763, 3428, 49, 143, 3281, 699, 11744, 837, 733]",2869.4029999999975,35,3.4741610000000094
7,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619, 849, 763, 3428, 49, 143, 3281, 699, 11744, 837, 733, 1577, 395, 1778, 7843, 725]",3022.2740000000017,40,3.4552234000000084
8,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619, 849, 763, 3428, 49, 143, 3281, 699, 11744, 837, 733, 1577, 395, 1778, 7843, 725, 368, 1885, 4282, 1401, 1191]",3073.6579999999994,45,3.4805642000000034
9,"[18, 4415, 751, 1753, 737, 7437, 1719, 390, 5813, 1641, 790, 18955, 4969, 118, 136, 1029, 1621, 64, 1749, 9412, 50463, 3092, 7579, 791, 1619, 849, 763, 3428, 49, 143, 3281, 699, 11744, 837, 733, 1577, 395, 1778, 7843, 725, 368, 1885, 4282, 1401, 1191, 4920, 72346, 44, 1440, 5958]",3700.8509999999983,50,3.831323300000008
